year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1980,11,1,6.9,-0.9,15.0,,6.3,
1980,11,2,6.5,0.7,14.4,,8.4,
1980,11,3,4.9,-2.6,17.0,,9.0,
1980,11,4,6.6,0.8,16.1,,8.1,
1980,11,5,9.7,3.8,19.1,0.0,7.6,
1980,11,6,12.5,8.4,19.6,0.1,6.7,
1980,11,7,11.7,6.1,19.5,,7.0,
1980,11,8,5.3,-0.7,9.6,,9.6,
1980,11,9,3.8,-1.9,12.9,,9.0,
1980,11,10,5.9,-1.2,15.0,,6.4,
1980,11,11,7.7,1.0,18.6,,8.0,
1980,11,12,10.7,5.9,17.8,0.5,2.1,
1980,11,13,2.9,-2.6,6.7,0.0,8.1,
1980,11,14,4.0,-4.0,12.5,,7.1,
1980,11,15,5.9,-1.7,16.8,,8.6,
1980,11,16,5.9,-0.6,13.0,,3.5,
1980,11,17,7.8,-0.8,19.1,,9.0,
1980,11,18,8.0,0.9,18.8,,9.0,
1980,11,19,8.7,0.8,21.5,,9.1,
1980,11,20,9.7,2.4,15.8,3.6,4.2,
1980,11,21,12.6,10.6,15.2,14.4,1.0,
1980,11,22,12.8,5.8,20.1,,8.6,
1980,11,23,7.8,1.2,17.2,,6.9,
1980,11,24,8.4,5.4,11.3,4.5,0.5,
1980,11,25,8.8,5.5,12.7,3.7,6.6,
1980,11,26,8.4,4.0,14.9,,8.8,
1980,11,27,6.4,2.4,11.5,,2.9,
1980,11,28,8.6,3.3,14.2,,7.5,
1980,11,29,6.2,1.4,13.6,,7.5,
1980,11,30,5.6,0.3,14.3,,5.1,
