year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1975,1,1,0.9,-0.8,2.2,14.3,0.0,8.9
1975,1,2,0.6,-1.4,4.8,0.3,3.6,0.9
1975,1,3,-0.6,-2.6,2.5,3.0,3.4,3.4
1975,1,4,1.6,-0.4,5.3,0.0,0.0,0.0
1975,1,5,1.0,-1.8,4.7,,7.4,
1975,1,6,3.1,-2.2,9.9,,7.3,
1975,1,7,5.3,0.2,9.7,,7.2,
1975,1,8,6.2,1.7,11.1,,3.8,
1975,1,9,-0.3,-3.0,2.9,,8.1,
1975,1,10,-3.3,-6.2,0.7,,8.5,
1975,1,11,-4.7,-8.6,0.8,,8.3,
1975,1,12,-3.5,-7.4,0.8,,8.4,
1975,1,13,-1.0,-5.2,4.4,,8.5,
1975,1,14,2.3,-1.9,9.5,,7.8,
1975,1,15,2.8,-0.1,6.4,,7.8,
1975,1,16,-2.6,-5.2,-0.1,13.7,1.0,17.8
1975,1,17,-6.0,-9.4,-2.3,,8.5,
1975,1,18,-6.4,-9.6,-2.9,,8.0,
1975,1,19,-4.6,-9.1,2.8,,8.8,
1975,1,20,-1.3,-5.5,4.7,,8.5,
1975,1,21,0.4,-2.8,4.8,,3.4,
1975,1,22,2.1,-0.2,6.0,,6.6,
1975,1,23,3.5,0.4,6.6,,8.2,
1975,1,24,4.9,2.4,8.8,3.9,0.4,
1975,1,25,4.7,1.4,8.3,,7.6,
1975,1,26,2.0,-0.9,6.5,,7.2,
1975,1,27,1.3,-1.8,5.3,,7.8,
1975,1,28,-3.2,-6.2,0.5,0.0,9.3,
1975,1,29,-3.7,-7.2,1.1,,9.2,
1975,1,30,-1.9,-4.8,2.0,,9.2,
1975,1,31,1.5,-3.8,8.4,,8.7,
