year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2017,4,1,8.6,3.8,15.2,,8.8,
2017,4,2,8.0,0.0,17.1,,10.7,
2017,4,3,10.2,-0.2,20.3,,11.6,
2017,4,4,12.4,2.5,21.4,,10.2,
2017,4,5,14.7,10.4,17.1,24.0,0.0,
2017,4,6,14.4,12.0,17.5,6.5,0.0,
2017,4,7,14.1,9.0,21.0,,8.4,
2017,4,8,14.7,8.3,24.6,,10.9,
2017,4,9,14.1,9.3,20.5,,7.2,
2017,4,10,14.8,11.5,19.9,,6.0,
2017,4,11,12.3,9.2,17.6,8.0,9.4,
2017,4,12,12.3,5.0,19.5,,10.5,
2017,4,13,11.2,2.1,20.5,,11.8,
2017,4,14,13.6,3.4,20.9,0.4,6.3,
2017,4,15,17.1,11.2,23.1,,10.0,
2017,4,16,17.4,13.5,26.3,,8.7,
2017,4,17,15.2,11.8,17.4,5.0,0.6,
2017,4,18,13.5,7.9,21.5,0.0,6.6,
2017,4,19,13.4,7.5,19.9,,12.1,
2017,4,20,12.0,6.8,18.4,3.5,1.4,
2017,4,21,14.6,8.8,21.8,,8.4,
2017,4,22,13.5,6.0,21.6,,11.9,
2017,4,23,13.1,5.8,21.8,,12.2,
2017,4,24,13.5,3.5,21.6,,12.2,
2017,4,25,16.6,9.4,22.8,,5.5,
2017,4,26,15.5,10.9,21.2,4.0,6.4,
2017,4,27,12.6,6.5,19.2,,9.8,
2017,4,28,14.2,3.1,24.2,,12.5,
2017,4,29,16.2,7.2,27.1,,12.5,
2017,4,30,18.1,8.6,27.3,,11.9,
