year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1997,10,1,16.5,10.2,25.6,,6.7,
1997,10,2,17.3,10.9,26.6,,9.5,
1997,10,3,17.0,11.6,24.6,,3.9,
1997,10,4,15.7,12.0,19.5,,3.2,
1997,10,5,15.1,8.0,21.4,,8.5,
1997,10,6,13.8,5.8,21.1,,7.9,
1997,10,7,14.2,9.0,19.9,5.5,6.4,
1997,10,8,10.2,5.2,16.0,0.5,10.5,
1997,10,9,13.2,3.9,19.2,,4.6,
1997,10,10,16.1,6.8,21.4,,5.5,
1997,10,11,10.3,4.5,17.4,,6.9,
1997,10,12,7.9,1.5,15.8,,10.0,
1997,10,13,12.7,3.6,19.1,8.0,5.0,
1997,10,14,13.5,8.5,19.0,,10.1,
1997,10,15,11.2,4.4,19.7,,9.9,
1997,10,16,14.7,6.9,20.6,0.5,6.3,
1997,10,17,16.1,10.0,20.3,,9.1,
1997,10,18,13.1,8.2,19.6,,9.7,
1997,10,19,15.0,7.0,20.9,0.0,5.5,
1997,10,20,17.6,10.0,23.9,,7.7,
1997,10,21,16.4,7.1,23.6,,9.4,
1997,10,22,12.1,4.4,22.2,,6.5,
1997,10,23,15.3,6.9,22.6,,5.5,
1997,10,24,9.9,1.8,15.4,,8.4,
1997,10,25,6.0,0.4,13.0,0.0,6.2,
1997,10,26,6.3,0.6,12.7,,6.5,
1997,10,27,7.3,2.5,12.8,,9.6,
1997,10,28,7.1,0.5,12.5,,9.6,
1997,10,29,9.0,5.8,14.7,2.5,4.4,
1997,10,30,3.0,-1.3,8.5,1.4,7.5,0.6
1997,10,31,2.9,-0.7,9.6,,9.6,
