year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1991,4,1,4.8,0.5,10.1,,11.0,
1991,4,2,6.2,-1.0,13.6,,11.1,
1991,4,3,8.4,0.0,16.9,,11.0,
1991,4,4,10.0,2.1,17.2,,11.1,
1991,4,5,13.1,7.4,20.9,,10.9,
1991,4,6,12.0,6.3,19.2,,7.4,
1991,4,7,11.9,9.7,14.2,0.1,0.5,
1991,4,8,11.9,6.1,18.4,,11.2,
1991,4,9,11.8,6.8,17.2,,9.4,
1991,4,10,13.1,10.0,14.8,12.3,0.0,
1991,4,11,15.3,13.5,19.5,0.4,8.6,
1991,4,12,14.0,12.6,15.3,1.2,0.0,
1991,4,13,15.1,11.9,19.6,3.7,6.8,
1991,4,14,15.0,9.0,20.6,,11.6,
1991,4,15,13.6,5.8,22.2,,8.1,
1991,4,16,15.4,7.1,24.2,,11.7,
1991,4,17,13.9,8.3,21.7,29.5,0.2,
1991,4,18,12.1,6.1,20.0,14.8,0.0,
1991,4,19,10.9,1.5,19.7,,11.3,
1991,4,20,12.7,6.9,17.0,,11.6,
1991,4,21,16.2,7.4,23.2,,11.7,
1991,4,22,14.4,6.3,22.9,,11.4,
1991,4,23,13.2,7.7,18.9,0.0,4.9,
1991,4,24,14.4,10.4,19.7,1.2,4.8,
1991,4,25,15.8,10.8,22.0,,9.2,
1991,4,26,14.4,11.3,19.2,0.0,8.5,
1991,4,27,13.3,6.6,21.0,,10.8,
1991,4,28,15.3,5.3,23.6,0.0,10.4,
1991,4,29,15.4,10.8,20.1,0.0,5.3,
1991,4,30,15.6,8.2,21.1,,12.2,
