year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2010,10,1,13.8,6.4,24.5,,5.6,
2010,10,2,15.9,8.5,23.4,20.0,1.0,
2010,10,3,18.1,12.9,23.5,7.0,3.6,
2010,10,4,14.1,11.1,18.8,0.3,1.1,
2010,10,5,14.1,9.1,20.5,,1.4,
2010,10,6,14.6,7.2,23.3,,6.4,
2010,10,7,15.3,10.7,24.6,,7.3,
2010,10,8,15.6,11.4,23.4,9.0,1.0,
2010,10,9,16.8,12.8,24.7,0.5,3.9,
2010,10,10,15.6,10.2,26.2,,7.5,
2010,10,11,14.0,7.4,23.3,0.0,2.2,
2010,10,12,15.9,10.1,24.5,,5.1,
2010,10,13,15.7,11.4,21.8,,0.3,
2010,10,14,14.7,9.3,21.1,,3.2,
2010,10,15,11.4,5.6,19.0,,10.4,
2010,10,16,11.5,3.7,22.1,,10.3,
2010,10,17,12.2,4.4,23.2,,6.5,
2010,10,18,12.5,6.4,23.0,,6.3,
2010,10,19,13.0,7.0,22.8,,3.6,
2010,10,20,14.2,8.6,23.2,,4.9,
2010,10,21,15.1,9.3,23.1,,4.6,
2010,10,22,12.7,7.6,21.0,,8.3,
2010,10,23,12.3,4.9,19.7,3.0,1.4,
2010,10,24,15.0,13.1,19.0,23.5,0.0,
2010,10,25,13.2,7.7,18.9,,4.0,
2010,10,26,3.7,-2.3,8.7,,10.2,
2010,10,27,4.9,-4.3,13.5,,6.0,
2010,10,28,6.0,-0.6,14.4,,10.0,
2010,10,29,6.7,-2.8,16.9,,9.8,
2010,10,30,9.8,3.3,18.4,,3.9,
2010,10,31,9.5,2.8,18.7,,6.2,
