year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2009,1,1,3.9,1.1,5.6,1.0,0.0,
2009,1,2,6.1,4.7,7.3,,2.0,
2009,1,3,6.7,5.6,8.3,,7.0,
2009,1,4,7.1,5.8,8.6,0.0,0.0,
2009,1,5,6.6,4.9,8.9,,5.6,
2009,1,6,5.9,4.5,7.2,,3.6,
2009,1,7,6.3,5.6,7.0,,0.6,
2009,1,8,6.0,5.2,6.9,0.0,0.3,
2009,1,9,4.2,0.1,6.6,3.0,0.5,
2009,1,10,2.4,-0.3,3.7,0.3,0.2,
2009,1,11,4.8,2.7,7.3,0.1,0.3,
2009,1,12,2.0,-0.9,4.8,1.0,2.1,
2009,1,13,3.8,1.7,5.6,0.2,1.3,
2009,1,14,3.8,0.9,6.4,0.0,0.8,
2009,1,15,3.1,0.7,4.3,0.0,0.0,
2009,1,16,6.8,3.1,9.5,0.0,2.5,
2009,1,17,11.2,7.0,13.2,0.0,4.4,
2009,1,18,11.8,7.9,14.0,0.5,0.5,
2009,1,19,6.7,5.3,8.8,,6.0,
2009,1,20,7.1,5.1,8.8,,0.0,
2009,1,21,6.9,4.5,9.1,3.5,0.0,
2009,1,22,8.7,6.0,11.5,,0.7,
2009,1,23,0.7,-3.4,9.7,0.4,0.2,0.5
2009,1,24,0.4,-3.6,3.1,2.0,1.9,0.9
2009,1,25,3.7,0.5,5.4,2.0,0.2,0.4
2009,1,26,5.1,3.7,6.4,,1.0,
2009,1,27,4.4,0.6,8.4,,9.4,
2009,1,28,7.6,2.5,13.5,,7.9,
2009,1,29,11.0,6.8,12.9,4.0,0.0,
2009,1,30,10.6,9.2,11.8,4.0,0.0,
2009,1,31,10.4,7.1,12.3,,9.5,
