year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2011,5,1,13.4,10.1,16.7,0.4,9.5,
2011,5,2,14.5,9.0,20.8,,7.7,
2011,5,3,14.4,8.7,21.4,,7.2,
2011,5,4,13.8,4.4,22.7,,10.0,
2011,5,5,17.4,7.5,25.2,,12.4,
2011,5,6,17.4,14.3,20.2,0.0,0.5,
2011,5,7,18.8,16.1,25.5,0.0,3.3,
2011,5,8,20.1,15.0,27.4,,5.0,
2011,5,9,22.1,16.2,25.2,4.0,0.9,
2011,5,10,20.8,18.4,23.2,44.5,0.0,
2011,5,11,20.2,18.6,21.5,63.0,0.0,
2011,5,12,15.7,10.3,18.6,3.0,0.1,
2011,5,13,15.3,9.5,20.5,,12.3,
2011,5,14,16.7,10.2,24.1,,12.6,
2011,5,15,18.3,8.8,26.0,,8.9,
2011,5,16,17.2,11.0,24.3,,7.9,
2011,5,17,16.4,8.1,25.8,,12.5,
2011,5,18,20.3,12.9,26.0,,11.0,
2011,5,19,21.8,17.4,27.5,,10.0,
2011,5,20,23.0,20.0,28.0,,4.9,
2011,5,21,18.6,16.1,25.0,1.0,0.8,
2011,5,22,18.4,14.9,22.7,0.1,3.5,
2011,5,23,16.3,12.4,20.6,3.5,4.2,
2011,5,24,19.8,9.9,28.0,,9.1,
2011,5,25,21.0,13.6,28.4,,5.3,
2011,5,26,17.5,15.9,19.3,6.0,0.0,
2011,5,27,18.3,16.1,22.2,,0.0,
2011,5,28,20.0,14.1,26.5,,7.0,
2011,5,29,21.0,15.3,29.1,,12.2,
2011,5,30,22.0,13.9,29.1,,10.0,
2011,5,31,19.1,17.4,21.6,,0.0,
