year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2009,6,1,21.5,12.3,29.3,,11.6,
2009,6,2,21.9,17.8,25.9,0.1,0.4,
2009,6,3,19.0,17.5,22.3,1.5,0.3,
2009,6,4,19.8,15.4,26.8,,8.7,
2009,6,5,21.0,13.4,28.4,,11.4,
2009,6,6,20.1,14.5,27.5,,11.3,
2009,6,7,19.8,14.7,25.2,0.1,1.5,
2009,6,8,20.9,15.9,26.6,,0.3,
2009,6,9,21.3,17.9,25.7,3.0,1.6,
2009,6,10,20.3,17.9,23.7,1.5,2.1,
2009,6,11,22.2,16.0,28.5,,12.2,
2009,6,12,20.9,14.6,26.9,,0.8,
2009,6,13,19.2,11.3,26.3,,12.7,
2009,6,14,20.4,15.9,26.2,,7.5,
2009,6,15,21.1,14.9,28.6,,12.5,
2009,6,16,21.9,14.8,30.6,,12.4,
2009,6,17,24.0,16.2,30.8,,7.7,
2009,6,18,25.6,20.4,32.7,,10.0,
2009,6,19,25.9,20.2,32.0,,9.6,
2009,6,20,24.4,23.0,27.8,2.0,0.7,
2009,6,21,25.4,22.0,31.6,1.5,3.5,
2009,6,22,22.2,20.5,26.9,69.0,1.7,
2009,6,23,22.4,18.1,29.0,,8.9,
2009,6,24,23.2,15.5,31.3,,11.9,
2009,6,25,24.9,16.0,32.9,,12.8,
2009,6,26,24.9,17.0,32.0,,11.3,
2009,6,27,24.1,21.4,28.3,,1.8,
2009,6,28,25.5,20.6,29.3,2.5,2.3,
2009,6,29,24.6,21.7,28.8,92.5,1.7,
2009,6,30,23.5,20.4,26.0,2.0,0.0,
