year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1976,4,1,7.8,-0.5,17.2,,9.8,
1976,4,2,7.7,3.3,12.7,,7.9,
1976,4,3,9.0,1.7,13.7,,10.1,
1976,4,4,9.4,2.0,16.2,,10.3,
1976,4,5,7.4,-0.3,14.7,,10.6,
1976,4,6,7.9,1.7,15.3,,11.1,
1976,4,7,8.1,0.7,15.6,,9.8,
1976,4,8,8.9,4.3,12.9,0.8,5.3,
1976,4,9,10.7,3.2,17.1,,10.3,
1976,4,10,10.6,5.8,15.9,,9.2,
1976,4,11,11.5,2.7,17.9,,11.5,
1976,4,12,13.2,3.7,19.8,,10.2,
1976,4,13,13.4,11.7,14.9,26.3,0.0,
1976,4,14,14.1,9.3,20.8,,10.2,
1976,4,15,14.0,4.5,24.1,,11.4,
1976,4,16,12.7,5.0,20.9,,9.4,
1976,4,17,14.2,8.5,21.5,,7.9,
1976,4,18,13.4,9.0,17.7,,9.4,
1976,4,19,13.5,4.5,22.4,,11.4,
1976,4,20,12.5,7.1,15.7,4.5,1.5,
1976,4,21,15.2,12.8,19.7,0.6,6.2,
1976,4,22,16.0,13.9,20.0,26.4,8.4,
1976,4,23,11.6,8.6,15.4,0.5,9.3,
1976,4,24,11.4,3.3,17.7,,11.3,
1976,4,25,11.0,5.1,15.7,0.0,3.7,
1976,4,26,16.1,9.1,24.6,,10.9,
1976,4,27,15.4,8.0,21.9,0.4,7.0,
1976,4,28,14.9,10.1,21.0,28.8,6.6,
1976,4,29,12.5,9.4,15.0,41.2,0.0,
1976,4,30,11.8,9.7,13.2,27.5,0.0,
