year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2023,7,1,23.7,21.8,27.2,0.0,0.2,
2023,7,2,25.0,21.8,30.5,,4.9,
2023,7,3,26.1,23.2,29.8,0.2,3.3,
2023,7,4,23.2,22.6,24.3,35.8,0.0,
2023,7,5,26.2,23.0,31.2,20.7,7.5,
2023,7,6,25.5,20.5,31.9,,7.3,
2023,7,7,22.3,21.0,24.1,58.1,0.0,
2023,7,8,23.5,20.9,26.1,1.7,0.1,
2023,7,9,25.1,23.5,26.4,4.8,0.0,
2023,7,10,26.4,23.4,30.0,0.3,4.3,
2023,7,11,24.7,22.8,26.9,12.2,0.0,
2023,7,12,24.6,22.6,26.8,154.6,0.0,
2023,7,13,26.0,24.6,28.2,0.8,0.0,
2023,7,14,25.3,24.5,26.5,15.8,0.0,
2023,7,15,25.5,21.7,28.5,5.0,0.0,
2023,7,16,23.4,21.5,26.5,75.9,0.1,
2023,7,17,25.7,23.4,29.8,115.8,0.3,
2023,7,18,24.4,23.7,25.2,136.6,0.0,
2023,7,19,25.7,24.0,28.6,0.0,1.0,
2023,7,20,26.4,22.9,31.0,,6.2,
2023,7,21,26.1,22.8,30.6,,8.3,
2023,7,22,24.2,22.2,25.7,3.5,0.2,
2023,7,23,26.8,24.9,29.8,20.7,0.5,
2023,7,24,25.7,24.5,28.3,61.7,0.3,
2023,7,25,26.7,24.0,30.5,19.1,2.9,
2023,7,26,27.0,23.7,31.9,,4.2,
2023,7,27,28.1,23.9,33.1,,8.6,
2023,7,28,27.7,24.4,31.9,,1.3,
2023,7,29,29.2,23.8,34.7,,12.3,
2023,7,30,28.3,24.6,33.0,,8.4,
2023,7,31,29.0,23.6,34.4,,11.8,
