year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2010,10,1,18.2,10.4,25.6,,7.4,
2010,10,2,19.7,15.4,25.1,18.0,0.9,
2010,10,3,19.7,17.4,23.9,4.5,5.8,
2010,10,4,15.7,14.0,18.3,3.5,0.4,
2010,10,5,15.8,12.6,19.9,,3.1,
2010,10,6,16.7,10.1,23.3,,9.7,
2010,10,7,18.9,13.0,25.2,,7.5,
2010,10,8,17.7,16.1,22.6,3.5,0.3,
2010,10,9,18.7,15.6,24.7,,7.3,
2010,10,10,18.2,14.0,25.8,,7.7,
2010,10,11,18.2,13.7,23.8,1.5,1.2,
2010,10,12,17.5,12.5,23.4,,6.2,
2010,10,13,16.0,12.7,21.0,,2.9,
2010,10,14,15.5,9.8,21.1,,5.8,
2010,10,15,15.3,11.4,19.4,,10.2,
2010,10,16,14.9,8.5,22.4,,9.8,
2010,10,17,16.1,11.2,22.7,,7.4,
2010,10,18,16.7,11.4,24.3,,9.5,
2010,10,19,17.2,11.9,23.0,,5.1,
2010,10,20,16.9,12.2,23.8,,6.9,
2010,10,21,17.0,11.8,23.4,,6.4,
2010,10,22,17.6,13.3,23.7,,9.2,
2010,10,23,16.7,12.6,21.4,0.5,0.2,
2010,10,24,17.3,15.3,20.1,10.5,0.0,
2010,10,25,13.3,8.8,17.2,,5.2,
2010,10,26,6.3,2.5,10.1,,10.3,
2010,10,27,8.0,1.5,15.0,,6.3,
2010,10,28,8.6,3.8,14.5,,10.0,
2010,10,29,10.7,4.1,18.7,,9.9,
2010,10,30,13.7,7.9,20.1,,8.5,
2010,10,31,12.7,8.9,18.1,,9.2,
