year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1999,7,1,21.3,19.0,23.5,3.0,0.0,
1999,7,2,19.4,18.3,20.4,30.5,0.0,
1999,7,3,23.7,18.2,29.5,,11.9,
1999,7,4,21.9,17.7,27.4,,1.9,
1999,7,5,22.9,18.7,28.2,,10.8,
1999,7,6,22.2,18.0,27.9,,6.8,
1999,7,7,21.8,15.8,27.2,,7.0,
1999,7,8,23.0,18.5,28.6,0.0,6.0,
1999,7,9,22.3,19.8,26.2,5.0,1.3,
1999,7,10,23.3,19.8,28.8,,2.7,
1999,7,11,20.8,16.8,24.4,,6.2,
1999,7,12,21.9,17.0,26.1,0.0,1.4,
1999,7,13,23.0,20.1,27.1,0.0,0.8,
1999,7,14,23.2,18.7,31.2,1.0,7.3,
1999,7,15,22.9,19.3,27.6,,6.9,
1999,7,16,25.0,20.0,31.4,,10.6,
1999,7,17,24.9,19.1,31.5,,7.1,
1999,7,18,26.0,21.2,32.7,,12.3,
1999,7,19,25.8,20.5,31.9,,11.9,
1999,7,20,23.9,19.4,28.2,0.5,2.5,
1999,7,21,26.3,22.6,32.0,,1.5,
1999,7,22,25.9,24.2,29.2,15.0,0.4,
1999,7,23,26.4,23.2,31.6,6.5,7.3,
1999,7,24,25.6,21.5,30.9,,6.5,
1999,7,25,27.6,22.6,31.9,,8.5,
1999,7,26,26.3,22.1,31.0,0.0,4.4,
1999,7,27,24.6,23.0,26.4,7.0,0.0,
1999,7,28,25.6,23.6,27.2,6.0,0.0,
1999,7,29,26.4,23.5,30.2,17.0,3.3,
1999,7,30,25.8,23.7,29.5,18.0,2.0,
1999,7,31,25.7,23.9,28.7,5.5,1.8,
