year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2019,4,1,8.0,1.7,14.0,,9.8,
2019,4,2,9.1,3.5,15.9,,11.1,
2019,4,3,9.9,4.5,16.8,,11.8,
2019,4,4,12.3,5.4,20.9,,11.2,
2019,4,5,16.0,8.0,22.4,,10.6,
2019,4,6,14.9,8.9,20.0,,11.3,
2019,4,7,12.6,10.0,18.5,4.0,0.6,
2019,4,8,14.1,9.5,22.5,,10.5,
2019,4,9,10.8,6.7,15.8,11.2,5.6,
2019,4,10,9.4,6.8,12.4,6.6,0.0,
2019,4,11,10.4,5.9,14.6,,4.3,
2019,4,12,11.7,6.3,18.7,3.1,9.9,
2019,4,13,13.4,7.0,19.4,,7.8,
2019,4,14,13.0,9.9,17.2,0.1,2.9,
2019,4,15,12.2,6.7,22.0,,12.0,
2019,4,16,15.9,7.5,25.0,,10.0,
2019,4,17,17.7,13.1,25.3,,8.8,
2019,4,18,17.4,11.3,24.0,,11.5,
2019,4,19,14.0,10.2,17.7,,1.0,
2019,4,20,15.1,9.2,21.5,,11.7,
2019,4,21,17.7,11.2,26.5,,5.5,
2019,4,22,18.4,13.5,24.5,,11.8,
2019,4,23,16.3,13.3,21.2,4.9,0.0,
2019,4,24,18.2,15.3,22.7,6.7,0.4,
2019,4,25,15.4,12.9,17.6,1.5,0.0,
2019,4,26,11.2,8.7,13.0,8.3,0.0,
2019,4,27,12.3,7.3,18.7,,8.8,
2019,4,28,13.5,9.3,19.8,,4.8,
2019,4,29,12.4,11.8,13.4,35.0,0.0,
2019,4,30,15.5,12.2,20.6,,3.5,
