year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2019,9,1,20.9,17.5,25.2,0.2,1.7,
2019,9,2,20.7,18.9,22.6,4.6,0.0,
2019,9,3,22.3,20.2,25.0,20.5,0.0,
2019,9,4,24.0,20.9,26.9,0.9,0.0,
2019,9,5,24.0,22.0,30.5,0.3,2.2,
2019,9,6,25.4,21.2,29.7,0.2,0.6,
2019,9,7,25.6,22.6,28.3,15.6,0.3,
2019,9,8,24.2,20.9,28.1,0.2,3.0,
2019,9,9,24.8,22.5,28.9,3.8,0.4,
2019,9,10,26.0,22.5,30.4,,9.0,
2019,9,11,25.7,21.4,31.7,6.3,7.3,
2019,9,12,20.6,19.0,23.2,1.6,0.0,
2019,9,13,22.8,18.7,28.1,,11.4,
2019,9,14,23.0,16.6,29.5,,8.6,
2019,9,15,24.8,19.9,30.7,,6.0,
2019,9,16,24.0,19.6,30.1,,6.9,
2019,9,17,21.9,16.4,28.5,,11.8,
2019,9,18,20.8,14.9,28.3,,10.9,
2019,9,19,18.7,11.5,26.9,,10.8,
2019,9,20,19.7,14.2,23.9,,1.7,
2019,9,21,17.7,16.5,20.3,62.6,0.0,
2019,9,22,18.0,16.8,19.2,38.6,0.0,
2019,9,23,18.7,14.5,23.5,,5.1,
2019,9,24,17.2,11.6,25.3,,8.8,
2019,9,25,17.5,11.3,24.6,,6.3,
2019,9,26,20.8,15.1,27.4,,5.8,
2019,9,27,22.4,16.5,28.9,,6.6,
2019,9,28,23.8,19.9,29.3,13.7,5.1,
2019,9,29,23.0,18.2,29.5,0.9,7.6,
2019,9,30,22.8,17.7,29.0,,7.1,
