year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2024,8,1,28.1,25.0,32.0,,7.6,
2024,8,2,29.3,25.7,34.0,,9.6,
2024,8,3,30.4,26.8,35.7,,11.4,
2024,8,4,29.3,26.7,34.0,,6.4,
2024,8,5,28.5,25.2,33.9,,8.5,
2024,8,6,28.4,24.8,33.7,,9.3,
2024,8,7,28.9,24.6,34.5,,9.3,
2024,8,8,29.3,25.8,34.3,,8.6,
2024,8,9,28.3,25.2,34.2,,11.5,
2024,8,10,27.7,24.6,32.6,,10.2,
2024,8,11,28.0,24.2,32.7,,10.4,
2024,8,12,27.8,24.2,33.2,,11.2,
2024,8,13,27.9,24.6,33.0,,11.5,
2024,8,14,28.5,24.7,33.3,,11.7,
2024,8,15,28.9,25.7,33.6,,10.6,
2024,8,16,28.3,25.2,32.8,,7.5,
2024,8,17,28.5,25.4,33.6,,8.7,
2024,8,18,28.1,25.4,33.1,,9.0,
2024,8,19,28.6,25.3,32.9,0.0,6.1,
2024,8,20,28.2,26.7,31.2,17.9,0.9,
2024,8,21,28.7,25.2,30.9,40.3,1.6,
2024,8,22,28.3,26.5,29.6,10.1,0.5,
2024,8,24,27.9,24.6,33.0,,10.2,
2024,8,25,28.0,24.6,32.7,,10.4,
2024,8,26,27.9,25.0,32.3,,7.9,
2024,8,27,28.1,25.4,32.9,0.0,3.1,
2024,8,28,27.0,24.9,29.7,0.0,0.3,
