year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1997,5,1,12.3,5.7,18.5,,11.7,
1997,5,2,13.8,8.5,18.4,,9.1,
1997,5,3,15.3,12.1,19.8,,7.9,
1997,5,4,12.9,8.7,18.2,6.2,1.3,
1997,5,5,15.2,3.7,23.8,,12.2,
1997,5,6,17.2,14.9,20.0,9.9,0.0,
1997,5,7,8.3,5.4,16.2,65.5,0.0,
1997,5,8,3.5,0.4,5.5,46.7,0.0,
1997,5,9,8.9,-1.7,16.1,,11.2,
1997,5,10,12.5,7.9,18.5,,9.5,
1997,5,11,12.2,7.5,17.7,,9.0,
1997,5,12,9.2,6.6,12.0,12.4,2.7,
1997,5,13,9.5,8.2,11.4,58.0,0.0,
1997,5,14,13.1,8.8,14.7,0.7,0.0,
1997,5,15,14.9,12.2,17.8,0.0,3.1,
1997,5,16,15.0,8.3,19.7,,11.5,
1997,5,17,12.8,6.5,18.8,,12.0,
1997,5,18,14.6,9.2,21.7,,11.3,
1997,5,19,8.7,5.0,14.4,13.7,2.3,
1997,5,20,4.9,3.4,6.4,9.7,0.2,
1997,5,21,6.9,3.8,11.1,5.4,2.9,
1997,5,22,11.1,2.7,18.2,,11.1,
1997,5,23,10.0,6.2,14.8,3.8,4.0,
1997,5,24,6.1,4.8,8.0,49.3,1.3,
1997,5,25,7.9,5.7,13.5,9.9,5.9,
1997,5,26,7.3,5.2,8.7,3.6,0.0,
1997,5,27,6.8,3.7,9.0,,0.4,
1997,5,28,8.9,2.8,12.0,0.3,5.2,
1997,5,29,12.5,10.9,15.2,6.6,1.2,
1997,5,30,11.7,9.7,16.2,9.9,3.6,
1997,5,31,14.0,9.1,19.4,,12.1,
