year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2000,2,1,-2.6,-7.3,3.3,,7.6,
2000,2,2,-0.8,-4.6,3.6,,8.7,
2000,2,3,0.5,-2.4,4.4,,8.2,
2000,2,4,1.0,-3.2,6.6,,9.6,
2000,2,5,2.3,-5.0,7.0,0.0,4.1,
2000,2,6,3.6,1.6,5.9,0.0,6.4,
2000,2,7,1.6,-1.4,4.4,,0.3,
2000,2,8,-3.4,-5.9,-0.2,0.0,9.4,
2000,2,9,-1.8,-6.9,4.0,,9.9,
2000,2,10,1.0,-4.0,6.7,,9.9,
2000,2,11,3.5,-0.1,8.3,,9.2,
2000,2,12,4.0,-0.4,8.9,,9.6,
2000,2,13,5.0,-1.4,10.6,,8.6,
2000,2,14,3.7,-1.4,8.8,,6.1,
2000,2,15,-2.2,-4.8,1.4,,10.1,
2000,2,16,-1.8,-5.6,2.6,,10.1,
2000,2,17,-0.8,-4.9,3.9,,10.5,
2000,2,18,1.5,-3.5,6.4,,9.4,
2000,2,19,4.1,-0.3,9.4,,1.3,
2000,2,20,3.9,-0.2,8.4,,9.5,
2000,2,21,1.0,-3.2,6.2,,10.5,
2000,2,22,1.5,-2.0,5.9,,7.6,
2000,2,23,3.7,-1.5,9.8,,6.8,
2000,2,24,0.1,-2.8,3.8,,10.0,
2000,2,25,0.2,-4.5,5.2,,7.3,
2000,2,26,2.7,-0.1,7.0,,8.2,
2000,2,27,4.1,-1.0,9.4,,10.2,
2000,2,28,1.8,-2.4,5.4,,10.7,
2000,2,29,1.1,-5.2,7.1,,10.6,
