year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2005,7,1,22.4,20.3,27.2,67.5,0.9,
2005,7,2,24.3,21.9,28.6,0.5,0.3,
2005,7,3,21.0,19.2,23.5,36.0,0.1,
2005,7,4,23.4,18.3,29.5,,7.0,
2005,7,5,22.6,20.1,25.9,0.5,0.0,
2005,7,6,23.9,20.8,28.3,,4.5,
2005,7,7,22.8,19.8,27.7,,1.8,
2005,7,8,24.5,19.8,29.8,14.5,4.2,
2005,7,9,21.3,19.7,23.1,45.5,0.0,
2005,7,10,22.5,17.6,26.8,,1.5,
2005,7,11,19.6,18.2,21.9,14.5,0.1,
2005,7,12,21.6,16.1,26.6,,4.9,
2005,7,13,21.4,19.6,24.4,48.0,0.1,
2005,7,14,23.9,20.9,29.5,6.0,5.3,
2005,7,15,24.7,20.3,30.5,,2.6,
2005,7,16,25.0,22.2,28.7,,0.5,
2005,7,17,23.1,21.7,26.5,4.0,0.3,
2005,7,18,26.1,22.4,31.9,0.4,6.6,
2005,7,19,26.0,22.3,30.7,,1.9,
2005,7,20,26.4,22.7,32.1,,5.9,
2005,7,21,27.0,23.0,32.6,,6.0,
2005,7,22,28.0,21.9,34.5,,9.3,
2005,7,23,28.9,24.1,34.1,,4.1,
2005,7,24,27.8,24.0,33.4,0.0,2.8,
2005,7,25,25.8,22.6,30.1,0.2,0.2,
2005,7,26,26.7,21.5,32.8,,8.9,
2005,7,27,26.2,23.4,29.7,3.0,1.2,
2005,7,28,22.0,19.5,23.5,116.0,0.0,
2005,7,29,24.5,21.1,28.6,,3.6,
2005,7,30,23.6,20.2,28.9,7.5,0.5,
2005,7,31,25.5,21.1,29.8,0.0,3.5,
