year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2004,4,1,9.4,3.8,13.7,2.5,6.2,
2004,4,2,8.7,5.9,11.8,0.5,10.9,
2004,4,3,6.3,2.7,11.5,,5.3,
2004,4,4,6.5,1.3,11.0,0.0,9.5,
2004,4,5,13.4,6.3,19.4,,11.5,
2004,4,6,12.1,8.9,16.9,0.0,2.1,
2004,4,7,8.3,4.8,12.3,1.0,1.4,
2004,4,8,11.5,3.7,16.5,,11.4,
2004,4,9,16.6,11.8,24.7,,11.2,
2004,4,10,17.7,13.4,22.8,,11.2,
2004,4,11,14.7,12.5,18.3,,9.9,
2004,4,12,14.9,8.9,20.9,,8.3,
2004,4,13,10.9,5.9,15.1,,9.1,
2004,4,14,12.8,8.0,17.2,,11.6,
2004,4,15,16.2,9.2,21.9,,10.0,
2004,4,16,22.7,18.4,27.5,,10.4,
2004,4,17,14.7,10.8,20.3,,10.7,
2004,4,18,18.4,10.6,25.1,1.0,8.6,
2004,4,19,16.1,12.0,21.3,1.5,3.3,
2004,4,20,16.4,10.4,24.8,,11.7,
2004,4,21,18.7,10.4,27.5,,10.3,
2004,4,22,12.1,8.4,25.4,5.0,2.4,
2004,4,23,11.0,7.3,14.1,,11.2,
2004,4,24,11.2,8.0,14.2,,12.1,
2004,4,25,17.3,12.7,21.5,,7.4,
2004,4,26,10.5,7.0,16.9,30.0,0.1,
2004,4,27,8.0,5.6,10.6,61.0,0.0,
2004,4,28,14.3,5.6,22.2,,11.9,
2004,4,29,19.5,10.6,28.0,,11.8,
2004,4,30,14.1,10.5,19.7,,0.4,
