year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2003,9,1,23.2,18.8,27.7,,7.9,
2003,9,2,24.4,22.9,26.6,34.5,0.3,
2003,9,3,24.5,22.6,26.6,11.0,0.0,
2003,9,4,26.4,22.4,31.0,,11.2,
2003,9,5,26.2,23.6,29.7,32.0,6.3,
2003,9,6,24.5,22.8,28.5,1.0,4.4,
2003,9,7,26.8,22.3,30.6,,6.5,
2003,9,8,25.5,23.8,28.7,13.0,5.6,
2003,9,9,24.6,22.1,28.9,2.0,1.3,
2003,9,10,22.2,20.8,23.8,0.5,0.0,
2003,9,11,22.8,20.6,24.6,2.0,0.0,
2003,9,12,22.9,21.5,24.1,60.0,0.1,
2003,9,13,23.6,22.1,26.6,0.5,8.1,
2003,9,14,23.4,20.9,27.4,,9.2,
2003,9,15,23.1,18.4,27.7,,8.8,
2003,9,16,24.3,20.2,28.8,,8.1,
2003,9,17,24.2,21.1,29.2,,7.4,
2003,9,18,24.3,22.8,26.6,13.0,0.5,
2003,9,19,23.3,21.4,26.7,,1.1,
2003,9,20,21.3,17.7,24.0,0.5,0.8,
2003,9,21,19.7,15.0,24.7,,11.5,
2003,9,22,19.7,15.3,23.9,,11.5,
2003,9,23,19.7,14.5,25.4,,11.5,
2003,9,24,19.8,16.3,25.0,,6.2,
2003,9,25,19.8,15.3,25.3,,7.3,
2003,9,26,20.2,15.9,25.8,,8.7,
2003,9,27,20.7,16.2,26.0,,10.5,
2003,9,28,20.2,17.1,25.0,,9.9,
2003,9,29,20.0,16.0,24.8,,10.9,
2003,9,30,20.2,17.4,24.6,,10.4,
