year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2011,5,1,15.0,11.2,17.6,4.5,8.7,
2011,5,2,16.1,8.6,23.8,,9.6,
2011,5,3,16.7,11.3,23.4,,8.0,
2011,5,4,15.0,8.2,22.7,,9.7,
2011,5,5,14.5,6.3,22.8,,12.0,
2011,5,6,13.5,6.9,19.9,,1.3,
2011,5,7,17.5,13.7,25.5,0.5,6.4,
2011,5,8,19.9,11.2,27.9,,9.5,
2011,5,9,19.1,12.0,23.7,6.0,1.1,
2011,5,10,18.0,12.8,24.3,74.0,0.0,
2011,5,11,13.9,12.6,15.6,56.5,0.0,
2011,5,12,14.6,11.8,18.5,3.0,0.1,
2011,5,13,16.7,11.4,22.3,,11.5,
2011,5,14,17.2,11.8,23.4,,11.9,
2011,5,15,18.1,7.4,26.0,,10.3,
2011,5,16,17.4,11.9,23.5,,12.0,
2011,5,17,15.8,6.5,24.1,,12.3,
2011,5,18,17.4,6.9,26.3,,10.5,
2011,5,19,19.3,12.2,27.2,,8.6,
2011,5,20,18.5,14.6,23.1,2.5,1.0,
2011,5,21,16.1,14.0,18.2,2.0,0.0,
2011,5,22,17.0,12.4,22.6,0.1,7.0,
2011,5,23,15.3,10.9,21.4,,3.5,
2011,5,24,16.6,7.5,26.2,,9.0,
2011,5,25,18.2,12.1,25.1,,1.7,
2011,5,26,14.9,13.4,16.7,7.0,0.0,
2011,5,27,15.5,13.1,18.0,0.1,0.0,
2011,5,28,17.1,11.9,25.2,,5.1,
2011,5,29,17.8,11.4,27.0,,8.4,
2011,5,30,18.7,11.0,26.4,,7.2,
2011,5,31,16.1,13.8,18.0,0.3,0.0,
