year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1994,1,1,-0.5,-7.0,8.2,,6.7,
1994,1,2,0.2,-7.2,9.8,,7.1,
1994,1,3,3.0,-2.8,13.1,,6.2,
1994,1,4,1.1,-5.6,8.4,,8.1,
1994,1,5,3.5,-2.2,9.1,,6.8,
1994,1,6,4.5,-2.9,11.9,,4.5,
1994,1,7,-0.4,-6.6,4.7,,7.5,
1994,1,8,-1.8,-8.4,8.1,,8.0,
1994,1,9,1.2,-6.9,12.7,,8.4,
1994,1,10,1.8,-5.0,11.0,,5.1,
1994,1,11,2.7,-4.0,11.6,,5.7,
1994,1,12,2.0,-2.4,9.9,,3.8,
1994,1,13,2.0,-3.3,8.3,,2.7,
1994,1,14,-0.3,-5.8,6.8,,6.6,
1994,1,15,-0.4,-8.1,9.9,,6.1,
1994,1,16,1.7,-6.8,9.6,1.5,2.2,
1994,1,17,6.3,4.8,8.0,10.0,0.0,
1994,1,18,-0.1,-5.8,5.1,,3.0,
1994,1,19,-4.5,-8.4,0.5,,9.1,
1994,1,20,-2.8,-9.1,2.5,,7.3,
1994,1,21,-2.5,-8.6,3.6,,8.6,
1994,1,22,-2.3,-8.8,4.4,0.0,6.0,
1994,1,23,-4.0,-9.9,1.6,0.0,7.6,0.4
1994,1,24,-5.4,-13.5,3.8,,9.2,
1994,1,25,-1.1,-9.0,9.7,,8.7,
1994,1,26,2.7,-4.5,10.7,,6.3,
1994,1,27,-0.7,-5.7,6.2,,9.0,
1994,1,28,0.5,-5.6,8.1,,5.7,
1994,1,29,-0.7,-5.5,5.4,,8.1,
1994,1,30,-1.4,-8.9,6.2,,8.1,
1994,1,31,2.1,-1.6,7.3,10.0,0.0,
