year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2024,4,1,9.1,4.7,14.7,,11.5,
2024,4,2,9.6,5.8,13.5,,5.1,
2024,4,3,9.8,8.3,12.2,,4.3,
2024,4,4,9.1,7.2,11.6,,11.5,
2024,4,5,9.2,5.9,13.9,,11.5,
2024,4,6,9.6,5.2,14.6,,8.4,
2024,4,7,9.6,6.4,14.5,,9.3,
2024,4,8,9.7,6.7,15.7,,4.5,
2024,4,9,10.2,6.5,15.4,,11.6,
2024,4,10,10.1,6.6,12.5,,5.5,
2024,4,11,11.1,8.8,14.8,0.0,8.7,
2024,4,12,10.9,8.7,14.0,,2.5,
2024,4,13,12.3,8.0,19.1,,10.7,
2024,4,14,15.0,10.0,19.3,,11.2,
2024,4,15,10.7,9.1,17.3,38.9,0.0,
2024,4,16,10.4,8.1,14.4,,9.0,
2024,4,17,12.0,7.8,17.8,,11.7,
2024,4,18,14.9,9.3,21.4,,11.7,
2024,4,19,12.9,9.0,17.5,,9.7,
2024,4,20,12.9,10.8,15.8,0.0,0.0,
2024,4,21,14.8,10.8,17.3,,0.2,
2024,4,22,15.3,12.1,19.2,,7.4,
2024,4,23,13.0,11.0,16.2,13.4,0.4,
2024,4,24,10.4,9.1,12.4,18.4,3.8,
2024,4,25,10.8,8.8,13.5,,4.8,
2024,4,26,12.6,8.1,17.6,,12.4,
2024,4,27,12.5,7.9,20.3,,12.4,
2024,4,28,14.1,7.2,20.3,,10.2,
2024,4,29,14.5,10.3,21.3,,12.1,
