year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2008,3,1,1.0,-6.8,8.9,,9.8,
2008,3,2,0.7,-5.8,7.5,,0.7,
2008,3,3,0.3,-5.2,6.6,4.3,1.1,5.2
2008,3,4,-1.0,-5.1,3.9,9.5,0.6,12.0
2008,3,5,-2.8,-8.0,6.2,,4.6,
2008,3,6,-2.2,-8.2,3.4,0.2,1.1,
2008,3,7,-0.6,-7.4,7.8,,4.9,
2008,3,8,0.8,-7.7,11.1,,9.9,
2008,3,9,4.1,-3.1,14.1,,9.1,
2008,3,10,5.9,-0.6,13.8,,9.6,
2008,3,11,6.0,-3.1,17.2,,8.9,
2008,3,12,5.2,-2.5,16.8,,6.9,
2008,3,13,5.2,-1.4,12.9,0.0,0.0,
2008,3,14,5.2,-1.8,13.9,0.0,8.9,
2008,3,15,5.9,-3.5,15.2,,7.2,
2008,3,16,6.9,-1.6,14.9,,9.8,
2008,3,17,5.2,-5.6,16.7,,9.7,
2008,3,18,7.6,-2.5,18.2,,7.2,
2008,3,19,6.0,-1.6,12.5,,0.5,
2008,3,20,4.2,-4.1,14.5,,10.3,
2008,3,21,5.5,-7.2,19.2,,8.4,
2008,3,22,9.2,-2.5,20.2,0.2,6.7,
2008,3,23,7.8,6.0,9.7,36.0,0.0,
2008,3,24,8.9,4.5,15.0,1.0,7.4,
2008,3,25,4.6,-0.7,10.1,0.2,9.0,
2008,3,26,3.8,-1.8,9.3,0.0,2.8,
2008,3,27,2.9,-2.8,10.8,0.0,2.8,
2008,3,28,3.2,-4.7,12.7,,7.4,
2008,3,29,3.7,0.8,5.9,8.0,0.0,
2008,3,30,4.8,1.4,8.8,2.0,0.1,
2008,3,31,4.5,0.2,11.3,2.5,2.9,
