year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1997,3,1,9.4,5.8,15.3,0.4,10.1,
1997,3,2,7.8,4.6,13.6,,6.8,
1997,3,3,4.7,0.0,10.1,,10.6,
1997,3,4,8.1,1.5,16.1,,10.1,
1997,3,5,10.5,5.4,17.4,,10.3,
1997,3,6,11.7,7.9,14.2,14.6,0.8,
1997,3,7,12.2,8.3,18.0,,10.0,
1997,3,8,11.8,6.1,17.5,,10.5,
1997,3,9,12.1,8.7,17.3,,9.7,
1997,3,10,11.1,9.3,13.1,26.1,0.0,
1997,3,11,11.1,8.6,15.4,,10.1,
1997,3,12,10.7,7.7,14.5,,5.7,
1997,3,13,11.8,8.5,14.7,4.0,0.0,
1997,3,14,9.2,6.1,12.2,7.7,0.0,
1997,3,15,6.7,5.4,8.4,0.4,0.0,
1997,3,16,6.6,4.6,10.6,,4.0,
1997,3,17,6.4,4.4,10.0,0.0,0.7,
1997,3,18,9.0,3.6,14.4,,10.8,
1997,3,19,10.5,7.5,16.9,,5.9,
1997,3,20,9.6,6.8,14.7,,7.4,
1997,3,21,10.9,5.1,16.9,,9.3,
1997,3,22,11.2,7.4,17.3,,8.9,
1997,3,23,7.4,2.3,15.7,0.8,6.6,
1997,3,24,7.1,1.0,13.3,,10.9,
1997,3,25,11.0,5.4,19.0,,8.4,
1997,3,26,11.7,8.5,16.2,0.0,0.4,
1997,3,27,11.8,6.4,20.1,,10.4,
1997,3,28,14.1,9.5,20.8,,5.8,
1997,3,29,12.9,11.1,15.1,3.8,1.4,
1997,3,30,8.0,3.3,13.5,,11.0,
1997,3,31,7.4,0.5,16.1,,11.4,
