year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1999,11,1,9.7,7.7,13.5,1.0,2.2,
1999,11,2,9.2,6.9,12.5,,5.2,
1999,11,3,8.7,4.2,13.9,,7.2,
1999,11,4,8.2,1.9,16.0,,7.1,
1999,11,5,11.0,4.5,18.6,,7.4,
1999,11,6,11.1,7.0,18.9,,7.0,
1999,11,7,12.3,5.0,19.9,,4.9,
1999,11,8,12.3,8.2,16.6,2.0,5.8,
1999,11,9,11.0,6.3,18.5,,5.5,
1999,11,10,12.2,7.7,19.8,,7.7,
1999,11,11,13.2,8.4,18.1,4.5,0.0,
1999,11,12,12.3,7.5,16.3,,5.9,
1999,11,13,9.1,3.9,17.4,,7.6,
1999,11,14,10.1,0.9,18.3,,6.7,
1999,11,15,9.6,4.4,13.7,,2.4,
1999,11,16,7.7,2.4,12.1,,7.0,
1999,11,17,5.5,-0.5,9.9,,0.0,
1999,11,18,5.5,-0.4,11.8,3.0,4.0,
1999,11,19,6.2,-1.3,15.9,,5.8,
1999,11,20,8.6,3.5,15.7,,5.9,
1999,11,21,8.4,2.5,15.6,,6.2,
1999,11,22,8.4,0.5,16.1,,7.1,
1999,11,23,10.3,3.6,19.5,,7.5,
1999,11,24,10.8,2.6,20.6,2.0,6.6,
1999,11,25,7.2,4.3,13.1,0.5,6.0,
1999,11,26,1.0,-2.3,4.8,1.5,2.2,2.0
1999,11,27,1.6,-2.3,3.9,0.5,0.0,
1999,11,28,1.1,-0.6,3.7,0.5,1.6,
1999,11,29,2.2,-0.2,5.7,0.0,0.0,
1999,11,30,5.4,0.3,11.3,,2.4,
