year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1976,11,1,5.1,-2.3,14.8,,9.8,
1976,11,2,8.1,0.1,19.4,,8.1,
1976,11,3,14.0,7.1,18.7,0.3,4.0,
1976,11,4,9.8,2.7,18.2,6.2,5.3,
1976,11,5,3.4,-0.6,8.5,,8.2,
1976,11,6,4.8,-2.3,14.0,,9.5,
1976,11,7,8.1,0.4,19.2,,9.6,
1976,11,8,8.3,2.1,16.9,,9.2,
1976,11,9,9.7,1.0,20.6,,9.5,
1976,11,10,10.2,4.5,16.6,0.0,1.7,
1976,11,11,5.3,2.1,10.3,,8.1,
1976,11,12,6.9,1.3,13.6,,8.4,
1976,11,13,7.2,3.8,9.0,6.5,0.0,
1976,11,14,1.7,-1.5,3.7,0.4,9.1,0.0
1976,11,15,0.3,-3.2,4.8,,8.4,
1976,11,16,2.0,-1.0,6.2,,3.5,
1976,11,17,1.4,0.2,2.4,2.0,0.0,4.3
1976,11,18,2.9,-1.4,9.1,,6.3,
1976,11,19,2.6,-3.1,11.8,,8.3,
1976,11,20,3.0,-2.7,7.0,,7.7,
1976,11,21,1.1,-3.2,6.8,,9.1,
1976,11,22,0.0,-2.8,5.2,5.3,4.1,2.5
1976,11,23,0.0,-3.2,4.9,0.4,8.0,1.4
1976,11,24,1.2,-3.4,8.7,,6.8,
1976,11,25,3.7,0.1,10.6,6.1,4.6,
1976,11,26,2.2,-1.4,4.9,0.0,6.4,
1976,11,27,0.0,-1.8,3.2,0.6,5.5,1.0
1976,11,28,3.1,-0.8,6.9,2.4,5.4,0.0
1976,11,29,-0.5,-3.7,2.9,,9.1,
1976,11,30,1.3,-4.5,9.2,,8.8,
