year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2018,7,1,20.5,19.9,21.4,51.3,0.0,
2018,7,2,21.7,20.3,23.9,30.2,0.0,
2018,7,3,23.7,20.8,29.5,5.0,4.9,
2018,7,4,21.5,19.6,24.5,42.5,0.2,
2018,7,5,19.3,18.6,20.6,13.8,0.0,
2018,7,6,17.5,16.7,18.9,19.3,0.0,
2018,7,7,16.8,15.3,19.6,2.2,3.6,
2018,7,8,17.0,15.5,20.1,,0.2,
2018,7,9,17.2,16.2,18.0,16.8,0.0,
2018,7,10,18.6,17.2,19.8,4.0,0.0,
2018,7,11,19.3,18.3,21.6,14.9,0.0,
2018,7,12,27.1,19.1,32.4,,4.9,
2018,7,13,28.6,22.9,32.2,,12.3,
2018,7,14,28.2,24.4,32.7,,13.9,
2018,7,15,29.3,24.0,33.8,,13.9,
2018,7,16,29.3,23.7,33.1,,13.6,
2018,7,17,29.8,25.3,33.7,,13.6,
2018,7,18,26.1,23.1,29.1,,13.5,
2018,7,19,27.3,21.1,32.3,,12.2,
2018,7,20,29.0,23.0,33.1,,13.7,
2018,7,21,29.5,23.8,33.0,,13.3,
2018,7,22,30.7,24.8,34.6,,13.4,
2018,7,23,29.1,26.5,33.6,,7.1,
2018,7,24,28.8,25.2,32.8,,12.7,
2018,7,25,28.7,25.8,32.2,,11.9,
2018,7,26,29.5,25.6,34.2,,12.6,
2018,7,27,28.3,25.4,32.1,,11.7,
2018,7,28,27.3,25.4,30.6,,5.4,
2018,7,29,26.2,25.0,28.5,0.0,2.7,
2018,7,30,25.1,23.7,27.8,4.0,3.0,
2018,7,31,26.4,22.1,31.0,,13.2,
