year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2016,11,1,6.9,2.8,11.0,,8.9,
2016,11,2,6.5,1.1,12.3,,8.8,
2016,11,3,9.2,3.3,15.7,,6.8,
2016,11,4,10.8,4.1,18.3,,8.5,
2016,11,5,13.7,6.8,21.0,,8.4,
2016,11,6,13.3,10.0,15.6,,1.0,
2016,11,7,13.3,9.8,17.6,,4.4,
2016,11,8,11.6,6.3,15.3,0.4,4.6,
2016,11,9,7.2,1.4,12.9,,8.3,
2016,11,10,9.6,5.8,13.6,0.5,1.6,
2016,11,11,11.0,5.9,17.3,,7.6,
2016,11,12,11.4,4.4,18.7,,7.4,
2016,11,13,13.8,9.5,17.9,,1.1,
2016,11,14,15.3,13.9,17.9,3.0,0.0,
2016,11,15,13.3,7.4,18.1,,7.8,
2016,11,16,9.9,4.0,16.3,,5.4,
2016,11,17,11.3,6.5,17.0,,7.2,
2016,11,18,11.4,5.8,17.1,20.0,4.1,
2016,11,19,14.3,11.4,20.0,0.5,2.9,
2016,11,20,14.6,11.7,19.9,,5.6,
2016,11,21,12.8,9.0,15.9,,2.9,
2016,11,22,9.6,5.2,13.2,,1.1,
2016,11,23,6.5,3.4,11.0,,5.1,
2016,11,24,2.8,-0.3,7.3,,8.1,
2016,11,25,4.2,-0.6,9.6,,8.2,
2016,11,26,2.5,-1.0,4.9,1.0,0.3,
2016,11,27,5.5,1.7,9.9,,2.9,
2016,11,28,5.3,1.5,10.2,,7.8,
2016,11,29,6.1,1.2,11.4,,8.2,
2016,11,30,7.5,5.2,10.4,4.0,0.3,
