year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2017,11,1,10.6,4.9,17.2,,3.4,
2017,11,2,12.9,9.1,17.3,1.5,1.0,
2017,11,3,12.4,6.0,17.8,3.0,4.3,
2017,11,4,7.0,0.6,14.2,,9.2,
2017,11,5,4.9,-2.9,14.8,,9.5,
2017,11,6,7.1,0.0,16.9,,7.8,
2017,11,7,10.5,2.5,17.2,,5.7,
2017,11,8,11.6,3.0,18.8,,8.7,
2017,11,9,5.9,-1.7,15.8,,9.3,
2017,11,10,6.1,0.2,12.7,3.5,0.6,
2017,11,11,3.9,-1.7,11.3,,9.4,
2017,11,12,2.2,-4.2,11.5,,8.7,
2017,11,13,4.7,-2.9,9.9,0.4,0.7,
2017,11,14,5.7,-0.5,11.5,,9.3,
2017,11,15,1.0,-3.9,7.1,,9.1,
2017,11,16,-1.4,-8.0,6.9,,9.3,
2017,11,17,-0.4,-7.5,3.3,0.0,0.3,
2017,11,18,-0.9,-6.5,3.3,,9.3,
2017,11,19,-3.1,-10.2,3.8,,9.2,
2017,11,20,-3.0,-8.9,2.2,0.0,3.8,
2017,11,21,-1.7,-5.8,5.3,,6.0,
2017,11,22,0.4,-5.6,6.6,0.1,1.7,
2017,11,23,-1.2,-8.2,4.7,0.0,7.9,
2017,11,24,-1.8,-6.4,4.2,0.5,7.2,0.5
2017,11,25,-1.2,-7.1,1.6,6.9,0.0,2.9
2017,11,26,1.0,-4.3,6.8,,3.6,
2017,11,27,-1.5,-6.6,7.2,,7.9,
2017,11,28,2.8,-3.4,10.9,0.0,4.9,
2017,11,29,4.5,-1.5,10.2,0.0,8.8,
2017,11,30,-1.8,-7.6,4.9,,8.7,
