year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2004,1,1,5.6,1.1,9.8,,6.4,
2004,1,2,3.4,-0.8,8.6,0.0,6.1,
2004,1,3,3.8,-2.5,9.6,,7.1,
2004,1,4,1.0,-4.8,10.8,,7.4,
2004,1,5,0.0,-6.1,11.5,,5.7,
2004,1,6,2.7,-4.6,10.5,,5.9,
2004,1,7,4.3,-1.0,9.8,,7.0,
2004,1,8,-0.1,-6.0,8.5,,7.4,
2004,1,9,2.1,-4.8,9.6,,3.0,
2004,1,10,3.7,-1.2,8.6,,3.2,
2004,1,11,1.0,-5.1,8.3,,5.4,
2004,1,12,0.1,-6.1,7.5,0.8,6.3,0.7
2004,1,13,-1.6,-2.7,0.5,0.0,6.5,
2004,1,14,-0.1,-4.3,4.8,,7.6,
2004,1,15,-0.6,-7.0,7.5,,7.4,
2004,1,16,1.0,-4.4,6.5,0.0,0.0,
2004,1,17,2.4,1.2,4.5,0.5,0.0,
2004,1,18,2.1,-0.2,6.6,0.0,1.3,
2004,1,19,1.2,-1.1,4.3,,6.4,
2004,1,20,0.1,-3.5,3.9,,7.7,
2004,1,21,-7.0,-11.0,-0.5,0.0,6.7,
2004,1,22,-7.5,-11.6,-3.4,,7.8,
2004,1,23,-3.0,-6.5,1.7,,6.7,
2004,1,24,-4.1,-9.8,1.3,,7.8,
2004,1,25,-3.2,-5.9,0.3,,8.2,
2004,1,26,-1.5,-6.3,4.1,,8.4,
2004,1,27,-0.8,-4.5,3.5,,8.0,
2004,1,28,0.4,-6.5,7.6,,8.5,
2004,1,29,0.9,-4.9,10.0,,8.6,
2004,1,30,1.0,-6.9,11.1,,8.5,
2004,1,31,1.0,-7.6,12.8,,8.6,
