year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2021,7,1,25.6,19.6,31.5,,10.2,
2021,7,2,24.5,19.0,30.2,,6.3,
2021,7,3,21.5,20.2,25.0,33.7,0.3,
2021,7,4,24.3,20.2,29.5,6.1,4.1,
2021,7,5,22.8,20.5,25.8,5.5,0.0,
2021,7,6,23.3,20.5,28.3,13.6,0.6,
2021,7,7,24.3,21.8,27.3,4.7,0.4,
2021,7,8,25.1,20.8,29.8,47.1,5.7,
2021,7,9,25.1,21.5,29.9,1.3,5.7,
2021,7,10,25.2,21.7,32.0,22.2,7.3,
2021,7,11,24.6,21.0,31.2,17.6,5.5,
2021,7,12,26.3,21.1,32.9,,7.8,
2021,7,13,27.5,22.7,33.4,,9.4,
2021,7,14,28.8,24.0,34.1,,9.5,
2021,7,15,25.8,22.2,33.2,2.7,3.6,
2021,7,16,26.8,22.3,32.7,,8.2,
2021,7,17,26.0,22.6,29.8,0.5,4.9,
2021,7,18,25.7,21.7,32.4,2.8,8.2,
2021,7,19,26.0,22.6,30.5,0.0,3.7,
2021,7,20,27.1,23.7,31.8,,5.9,
2021,7,21,27.6,22.2,33.2,,11.1,
2021,7,22,26.9,21.2,32.6,,8.9,
2021,7,23,27.2,22.1,32.9,,10.7,
2021,7,24,27.4,23.2,33.0,,9.6,
2021,7,25,27.0,22.0,31.5,,8.1,
2021,7,26,27.5,22.6,33.2,,10.9,
2021,7,27,27.1,21.3,34.0,51.2,12.1,
2021,7,28,27.8,22.7,33.5,,10.7,
2021,7,29,28.0,22.8,33.7,,10.4,
2021,7,30,28.7,24.2,34.5,,9.8,
2021,7,31,29.2,24.0,34.7,7.1,10.3,
