year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1984,2,1,5.5,2.2,10.6,,7.3,
1984,2,2,3.1,-2.0,7.4,,7.9,
1984,2,3,0.2,-3.2,5.3,,9.2,
1984,2,4,0.5,-2.9,4.0,,0.3,
1984,2,5,3.4,-0.5,9.1,,5.6,
1984,2,6,-2.0,-3.2,2.1,1.2,6.2,1.8
1984,2,7,-1.5,-4.0,1.7,2.6,3.2,3.8
1984,2,8,0.5,-2.4,4.3,0.4,8.0,0.7
1984,2,9,1.3,-0.8,4.8,0.0,4.9,
1984,2,10,3.9,0.5,6.5,0.0,0.8,
1984,2,11,6.4,4.2,9.4,4.6,0.4,
1984,2,12,8.0,5.8,9.5,0.3,0.0,
1984,2,13,7.8,3.6,12.7,,9.1,
1984,2,14,6.0,2.0,10.7,,8.7,
1984,2,15,4.4,0.5,9.4,,4.2,
1984,2,16,4.9,1.8,9.4,0.3,6.0,
1984,2,17,5.2,0.2,11.2,2.5,5.2,
1984,2,18,4.3,-1.2,10.3,,10.0,
1984,2,19,6.1,1.9,11.0,,7.4,
1984,2,20,6.2,1.8,11.2,,9.2,
1984,2,21,6.8,2.5,12.7,,5.6,
1984,2,22,8.0,6.2,9.2,12.3,0.0,
1984,2,23,9.5,7.9,12.4,6.1,0.8,
1984,2,24,8.9,5.5,13.6,,5.2,
1984,2,25,8.9,7.8,11.6,,0.0,
1984,2,26,6.3,1.1,9.7,1.2,7.3,
1984,2,27,2.5,0.4,6.5,,9.6,
1984,2,28,2.7,-0.2,7.5,,7.5,
1984,2,29,1.6,-2.0,5.2,0.5,7.7,0.5
