year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1981,2,1,-2.5,-6.3,3.3,,7.2,
1981,2,2,-4.9,-13.6,3.0,,8.8,
1981,2,3,-3.6,-6.0,-1.1,,8.6,
1981,2,4,-6.6,-13.1,2.2,,8.9,
1981,2,5,-5.9,-13.0,2.9,,9.1,
1981,2,6,-3.5,-9.3,1.9,,0.0,
1981,2,7,-2.9,-7.9,1.3,,9.0,
1981,2,8,-0.9,-6.3,3.5,0.7,1.9,
1981,2,9,1.1,-2.0,4.3,4.9,8.6,
1981,2,10,0.1,-4.2,3.9,0.1,8.5,0.3
1981,2,11,-1.0,-7.1,4.9,,9.5,
1981,2,12,3.8,0.4,7.2,2.6,0.0,
1981,2,13,4.1,0.3,7.0,,0.0,
1981,2,14,2.5,-1.8,7.9,,2.6,
1981,2,15,3.2,-0.3,7.7,,0.4,
1981,2,16,1.9,-0.3,3.4,0.2,0.0,
1981,2,17,2.6,-0.2,8.5,,9.6,
1981,2,18,1.6,-1.9,7.0,,2.2,
1981,2,19,-0.6,-3.3,3.1,,8.7,
1981,2,20,-0.8,-3.3,3.0,1.6,0.8,1.3
1981,2,21,-0.9,-4.2,4.4,,8.2,
1981,2,22,2.1,-2.8,8.0,,4.7,
1981,2,23,3.1,0.4,5.9,1.9,1.3,2.3
1981,2,24,-0.3,-5.4,2.4,2.5,6.1,3.3
1981,2,25,-6.9,-10.1,-4.7,0.5,6.9,1.1
1981,2,26,-9.5,-13.1,-6.6,0.4,7.2,0.7
1981,2,27,-7.2,-10.8,-2.9,,10.2,
1981,2,28,-3.3,-9.3,2.6,,5.9,
