year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1976,11,1,7.1,0.8,13.9,,7.6,
1976,11,2,9.7,3.8,15.8,,6.9,
1976,11,3,12.6,8.2,16.5,4.0,0.4,
1976,11,4,7.3,0.7,15.8,5.0,4.4,
1976,11,5,2.4,-2.1,8.0,,8.6,
1976,11,6,5.7,-0.4,12.2,,9.0,
1976,11,7,8.4,2.3,15.5,,7.0,
1976,11,8,10.3,6.6,13.5,,9.0,
1976,11,9,11.9,5.0,19.4,,8.6,
1976,11,10,10.4,4.8,15.6,0.0,1.4,
1976,11,11,4.5,0.7,9.5,,4.7,
1976,11,12,7.4,2.8,12.2,,6.0,
1976,11,13,6.4,1.0,8.8,7.9,0.0,
1976,11,14,-1.4,-3.4,1.3,,8.3,
1976,11,15,-1.9,-5.1,2.4,,8.6,
1976,11,16,0.2,-2.8,4.0,,0.0,
1976,11,17,1.2,-0.2,3.2,0.4,0.0,
1976,11,18,2.8,-0.4,7.7,,6.5,
1976,11,19,2.4,-1.7,6.6,0.0,0.5,
1976,11,20,2.2,-1.1,6.2,1.5,8.5,
1976,11,21,0.1,-3.4,4.4,,8.6,
1976,11,22,-0.2,-2.3,4.0,3.5,3.3,2.7
1976,11,23,-1.1,-3.0,1.8,,8.3,
1976,11,24,-0.7,-3.6,2.4,1.8,0.3,0.3
1976,11,25,2.2,0.2,5.4,5.0,0.0,0.7
1976,11,26,0.2,-2.2,2.7,0.0,7.9,
1976,11,27,-1.9,-4.2,1.0,0.0,8.2,
1976,11,28,0.2,-2.2,4.4,1.6,7.6,1.0
1976,11,29,-2.6,-6.3,0.4,,8.4,
1976,11,30,0.5,-4.3,5.4,,3.5,
