year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2023,5,1,16.1,7.9,21.7,,12.2,
2023,5,2,16.9,10.5,21.2,,11.6,
2023,5,3,17.1,14.6,20.0,32.0,0.2,
2023,5,4,17.7,16.3,19.0,193.0,0.0,
2023,5,5,19.5,18.9,20.0,34.5,0.0,
2023,5,6,17.6,15.5,22.1,1.1,3.9,
2023,5,7,13.7,12.3,15.6,18.4,0.0,
2023,5,8,14.0,10.6,17.8,,10.8,
2023,5,9,16.5,11.0,22.7,,12.9,
2023,5,10,18.9,11.7,24.5,,12.4,
2023,5,11,17.3,13.6,20.7,,7.7,
2023,5,12,16.8,13.0,20.6,1.5,0.5,
2023,5,13,14.8,12.2,17.1,12.6,0.7,
2023,5,14,17.0,10.5,23.2,,10.5,
2023,5,15,17.4,12.4,22.9,1.4,4.9,
2023,5,16,18.7,11.3,24.9,,10.0,
2023,5,17,21.3,17.3,25.1,0.0,4.9,
2023,5,18,17.8,16.8,19.9,142.4,0.0,
2023,5,19,18.8,16.6,21.9,2.0,4.9,
2023,5,20,18.4,14.9,21.4,,8.2,
2023,5,21,17.2,13.3,21.2,,8.5,
2023,5,22,17.1,14.3,20.2,0.3,0.8,
2023,5,23,18.8,13.8,24.3,,12.4,
2023,5,24,18.1,13.2,22.2,,4.9,
2023,5,25,19.6,15.7,22.9,,10.3,
2023,5,26,21.1,18.1,24.8,,4.9,
2023,5,27,21.1,20.4,22.4,0.3,0.6,
2023,5,28,21.7,20.5,24.6,0.4,0.0,
2023,5,29,22.6,21.0,26.3,1.2,0.1,
2023,5,30,20.1,18.9,21.6,36.4,0.0,
2023,5,31,19.7,18.2,22.4,12.3,4.8,
