year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2024,2,1,3.4,1.4,5.6,,0.0,
2024,2,2,2.5,-1.6,8.7,,6.4,
2024,2,3,4.0,-0.9,8.9,0.6,0.0,
2024,2,4,5.9,2.0,10.6,1.3,1.1,
2024,2,5,3.4,0.7,6.0,17.5,0.0,
2024,2,6,1.6,0.0,4.2,0.9,0.0,
2024,2,7,0.6,-1.8,3.8,,1.5,
2024,2,8,0.4,-4.9,6.2,,8.2,
2024,2,9,0.7,-4.3,6.9,,8.5,
2024,2,10,0.7,-4.3,6.5,0.1,5.4,
2024,2,11,,,,0.1,3.9,
2024,2,12,3.3,-3.6,11.7,,8.9,
2024,2,13,8.5,0.0,15.6,,7.4,
2024,2,14,13.1,8.5,18.2,,1.5,
2024,2,15,5.9,-0.6,13.5,1.0,0.2,
2024,2,16,2.6,-2.7,9.2,,8.3,
2024,2,17,,,,,8.2,
2024,2,18,5.2,-0.6,9.1,27.4,0.1,
2024,2,19,10.1,5.4,13.3,16.9,0.0,
2024,2,20,5.2,3.5,6.7,5.6,0.0,
