year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2022,2,1,0.9,-1.3,3.5,,9.3,
2022,2,2,-0.5,-3.5,3.2,,9.7,
2022,2,3,-0.9,-4.8,3.8,,9.8,
2022,2,4,-3.1,-6.7,1.0,,9.8,
2022,2,5,-5.1,-9.0,-1.0,,9.8,
2022,2,6,-2.0,-6.8,2.8,,9.7,
2022,2,7,-1.5,-6.0,1.9,,8.3,
2022,2,8,-0.3,-4.0,3.9,,9.4,
2022,2,9,0.9,-3.3,6.5,,9.1,
2022,2,10,1.0,-2.2,4.8,,8.9,
2022,2,11,4.1,-2.3,9.1,,9.5,
2022,2,12,4.5,0.8,7.3,,8.7,
2022,2,13,3.3,1.1,5.5,8.1,0.5,
2022,2,14,3.4,0.9,5.4,1.4,2.9,
2022,2,15,-2.0,-6.2,1.8,,10.0,
2022,2,16,-6.2,-8.6,-2.9,,10.1,
2022,2,17,-5.4,-10.9,-0.9,,10.1,
2022,2,18,0.8,-6.2,5.3,,8.6,
2022,2,19,1.6,-3.0,5.1,,4.7,
2022,2,20,-3.2,-6.9,0.6,,10.2,
2022,2,21,-1.6,-5.7,3.1,0.0,9.8,
2022,2,22,-3.0,-5.8,1.0,,10.3,
2022,2,23,-4.8,-10.1,-1.3,,10.4,
2022,2,24,0.4,-7.6,6.4,,10.5,
2022,2,25,5.9,-0.3,10.6,,10.3,
2022,2,26,7.0,2.9,11.2,1.6,4.7,
2022,2,27,6.1,1.1,11.0,,10.5,
2022,2,28,6.8,3.6,12.7,,8.2,
