year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2020,1,1,-2.2,-6.3,0.3,0.0,0.0,
2020,1,2,1.3,-0.3,3.2,,0.0,
2020,1,3,-0.1,-3.9,5.2,,8.9,
2020,1,4,1.3,-4.9,7.6,,7.4,
2020,1,5,0.1,-5.9,6.3,,6.6,
2020,1,6,3.5,-1.8,4.9,3.9,0.0,
2020,1,7,7.7,4.9,12.2,50.8,0.0,
2020,1,8,2.9,0.1,11.7,4.4,0.0,
2020,1,9,-0.3,-3.1,3.1,,8.3,
2020,1,10,-0.7,-4.6,4.5,,8.1,
2020,1,11,-0.2,-3.8,4.5,,7.9,
2020,1,12,-0.5,-3.9,2.4,,8.3,
2020,1,13,-2.0,-4.6,0.6,,8.2,
2020,1,14,-2.0,-6.1,3.2,,8.6,
2020,1,15,-2.5,-7.0,2.3,,9.3,
2020,1,16,-2.0,-6.9,4.1,,7.6,
2020,1,17,-1.1,-5.6,4.8,,7.2,
2020,1,18,-0.5,-5.3,5.6,,8.8,
2020,1,19,1.7,-2.1,5.9,0.4,4.4,
2020,1,20,1.2,-2.8,5.7,0.0,7.4,
2020,1,21,-0.7,-5.9,5.4,,9.3,
2020,1,22,2.1,-1.3,5.1,0.0,0.2,
2020,1,23,4.1,-1.4,10.7,,8.4,
2020,1,24,2.4,-2.2,9.2,,8.5,
2020,1,25,2.8,-2.2,9.1,,2.9,
2020,1,26,5.3,-2.7,11.9,,7.4,
2020,1,27,5.9,3.5,8.1,1.4,0.0,
2020,1,28,7.4,3.9,11.0,0.1,0.9,
2020,1,29,6.2,1.0,11.4,,6.9,
2020,1,30,5.3,0.7,10.5,,6.5,
2020,1,31,2.9,-0.5,7.5,,3.8,
