year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2012,4,1,6.3,-0.5,13.3,,11.4,
2012,4,2,10.4,-0.8,17.1,1.0,7.2,
2012,4,3,6.7,2.1,16.1,18.5,5.3,
2012,4,4,7.5,-2.0,15.6,,10.9,
2012,4,5,8.0,0.7,14.7,,11.6,
2012,4,6,5.3,-2.0,12.4,,11.9,
2012,4,7,7.1,-2.1,15.5,,11.8,
2012,4,8,12.0,0.0,20.7,,11.6,
2012,4,9,17.1,13.7,22.4,,6.1,
2012,4,10,13.4,10.8,16.6,3.5,0.0,
2012,4,11,11.7,4.9,16.4,2.0,2.8,
2012,4,12,9.3,0.2,17.8,,10.9,
2012,4,13,9.3,6.1,13.7,1.5,0.4,
2012,4,14,13.5,5.7,21.9,,11.3,
2012,4,15,15.7,7.9,24.5,,10.5,
2012,4,16,13.2,5.2,23.6,,11.8,
2012,4,17,12.0,2.2,21.5,,11.8,
2012,4,18,14.4,5.4,22.6,,9.1,
2012,4,19,12.5,8.7,17.2,6.0,1.1,
2012,4,20,15.4,11.3,19.3,2.0,1.9,
2012,4,21,14.7,12.2,17.8,27.5,0.0,
2012,4,22,10.7,7.5,16.9,1.0,2.0,
2012,4,23,15.1,6.2,24.2,,8.8,
2012,4,24,18.4,8.5,28.3,,10.8,
2012,4,25,15.7,9.9,19.9,19.0,0.0,
2012,4,26,11.5,5.7,16.7,0.1,12.5,
2012,4,27,13.5,2.6,24.1,,12.3,
2012,4,28,16.4,4.8,27.2,,12.3,
2012,4,29,15.4,9.2,20.1,,0.8,
2012,4,30,18.4,14.0,21.8,,7.9,
