year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2014,10,1,17.6,13.3,23.7,,9.0,
2014,10,2,17.8,12.4,24.9,0.4,4.1,
2014,10,3,16.5,11.2,20.6,,8.6,
2014,10,4,14.8,8.8,23.1,,10.3,
2014,10,5,14.9,7.4,23.9,,10.8,
2014,10,6,14.2,7.9,22.1,,10.8,
2014,10,7,13.5,6.9,22.9,,10.2,
2014,10,8,14.4,7.3,23.7,,10.1,
2014,10,9,15.1,7.8,24.2,,9.6,
2014,10,10,16.3,8.5,24.8,,10.5,
2014,10,11,15.4,8.2,25.6,,10.5,
2014,10,12,14.9,9.2,19.5,1.5,0.0,
2014,10,13,15.9,10.3,21.0,8.5,1.4,
2014,10,14,12.6,8.4,19.8,,6.0,
2014,10,15,12.1,6.4,20.7,,8.7,
2014,10,16,11.9,5.2,19.9,,8.3,
2014,10,17,11.9,4.6,21.3,,10.4,
2014,10,18,11.1,1.5,22.9,,10.3,
2014,10,19,13.6,3.5,21.8,,8.0,
2014,10,20,17.6,14.8,19.9,9.0,0.0,
2014,10,21,18.5,14.5,24.0,51.0,0.2,
2014,10,22,13.7,9.4,16.9,23.0,0.0,
2014,10,23,11.7,7.5,19.3,,7.3,
2014,10,24,12.5,7.7,22.5,,7.8,
2014,10,25,12.7,5.5,23.8,,8.4,
2014,10,26,14.1,5.4,22.6,,9.0,
2014,10,27,13.0,5.4,19.3,,9.9,
2014,10,28,9.6,1.4,21.4,,9.8,
2014,10,29,10.8,3.1,18.9,,3.9,
2014,10,30,12.2,4.7,19.6,,1.1,
2014,10,31,12.3,10.9,13.4,34.0,0.0,
