year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2023,7,1,25.6,20.3,31.2,,8.1,
2023,7,2,26.3,21.3,32.5,,5.3,
2023,7,3,26.4,21.3,33.0,,10.0,
2023,7,4,24.5,22.0,28.7,24.9,2.4,
2023,7,5,25.2,22.6,29.2,17.0,6.4,
2023,7,6,25.7,19.7,32.5,,8.1,
2023,7,7,20.6,17.1,24.9,86.7,0.0,
2023,7,8,23.1,18.2,29.8,1.7,2.2,
2023,7,9,25.1,22.7,30.1,15.2,1.5,
2023,7,10,25.9,21.6,30.8,8.5,5.8,
2023,7,11,23.4,21.8,27.3,30.0,0.1,
2023,7,12,25.4,21.7,30.3,1.7,2.4,
2023,7,13,24.9,23.7,26.2,15.8,0.0,
2023,7,14,24.6,23.6,25.2,57.8,0.0,
2023,7,15,23.8,21.9,26.1,47.3,0.0,
2023,7,16,24.6,21.7,28.1,0.6,0.7,
2023,7,17,25.3,22.8,30.9,11.0,3.3,
2023,7,18,23.1,21.8,25.7,66.1,0.0,
2023,7,19,25.5,21.0,31.5,,8.8,
2023,7,20,26.5,22.2,32.0,,5.7,
2023,7,21,25.9,22.7,32.6,,3.5,
2023,7,22,25.5,20.0,30.5,,6.7,
2023,7,23,26.5,23.3,29.5,0.0,0.0,
2023,7,24,26.0,24.0,29.9,16.3,2.0,
2023,7,25,25.1,23.0,29.6,13.9,0.8,
2023,7,26,25.0,22.2,31.1,3.8,4.1,
2023,7,27,26.5,21.7,32.7,,7.9,
2023,7,28,28.2,23.7,33.5,,9.3,
2023,7,29,28.5,24.2,34.5,,9.9,
2023,7,30,29.0,24.1,34.3,,8.3,
2023,7,31,27.9,23.8,32.9,,5.9,
