year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2024,2,1,7.4,4.9,10.3,1.4,0.0,
2024,2,2,6.7,4.5,10.5,0.0,1.1,
2024,2,3,7.2,5.2,10.1,4.5,0.3,
2024,2,4,8.0,5.4,12.0,3.6,2.9,
2024,2,5,7.0,4.4,8.7,11.9,0.0,
2024,2,6,5.3,3.3,8.0,,0.0,
2024,2,7,,-0.3,9.7,,4.7,
2024,2,8,4.9,-0.6,11.0,,8.3,
2024,2,9,5.0,0.5,10.9,,4.4,
2024,2,10,4.9,0.6,11.0,,8.7,
2024,2,11,,,,,9.1,
2024,2,12,5.0,-2.1,12.5,,9.4,
2024,2,13,9.1,0.1,17.6,,6.2,
2024,2,14,12.3,7.0,17.1,1.6,0.1,
2024,2,15,12.0,5.1,20.6,,2.6,
2024,2,16,5.8,2.2,11.6,,9.5,
2024,2,17,,,,,9.6,
2024,2,18,9.3,0.1,15.5,12.2,1.4,
2024,2,19,16.7,12.7,22.9,87.2,2.2,
