year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2010,7,1,26.2,21.4,30.9,,6.5,
2010,7,2,24.6,24.1,25.6,35.5,0.0,
2010,7,3,25.3,24.2,28.7,5.5,0.0,
2010,7,4,25.3,22.5,28.9,,2.5,
2010,7,5,27.4,23.4,33.1,2.5,8.0,
2010,7,6,26.2,21.9,32.7,,8.0,
2010,7,7,25.5,22.3,31.3,,7.2,
2010,7,8,24.3,19.8,29.8,2.0,3.0,
2010,7,9,24.5,19.8,30.1,0.3,7.3,
2010,7,10,24.9,19.5,29.9,,3.5,
2010,7,11,22.9,21.1,24.7,5.5,0.0,
2010,7,12,24.4,19.8,29.8,,7.9,
2010,7,13,25.7,19.8,31.5,,10.6,
2010,7,14,25.7,21.4,30.7,,2.1,
2010,7,15,25.7,21.4,30.5,23.0,5.7,
2010,7,16,23.6,22.5,28.1,78.0,0.7,
2010,7,17,23.9,23.0,24.7,64.5,0.0,
2010,7,18,27.1,23.9,30.8,3.0,0.7,
2010,7,19,27.8,24.5,33.6,,4.0,
2010,7,20,28.0,22.9,33.2,,6.2,
2010,7,21,27.9,25.4,31.7,3.5,2.4,
2010,7,22,27.6,24.4,31.1,,1.0,
2010,7,23,23.4,21.8,27.1,21.0,0.0,
2010,7,24,24.7,22.3,29.4,4.0,1.6,
2010,7,25,26.0,23.1,31.4,6.5,4.9,
2010,7,26,25.8,22.5,30.8,2.0,2.8,
2010,7,27,27.4,23.4,32.7,,6.0,
2010,7,28,25.6,20.8,30.6,,5.4,
2010,7,29,27.0,24.3,30.5,0.5,1.7,
2010,7,30,26.5,24.5,29.7,,0.0,
2010,7,31,27.2,23.5,30.9,,0.5,
