year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1977,5,1,14.0,11.5,16.9,52.0,0.0,
1977,5,2,17.4,13.1,21.9,3.5,10.1,
1977,5,3,15.3,12.1,18.8,1.8,3.8,
1977,5,4,13.3,11.0,16.5,6.4,1.5,
1977,5,5,13.3,11.8,14.8,4.8,0.0,
1977,5,6,15.9,13.5,18.8,,9.0,
1977,5,7,17.4,13.3,22.7,,11.8,
1977,5,8,16.6,13.0,20.8,,10.4,
1977,5,9,17.7,12.7,23.4,,12.1,
1977,5,10,17.6,11.8,23.7,,11.2,
1977,5,11,19.3,14.6,24.8,,10.8,
1977,5,12,20.6,17.3,25.9,,9.9,
1977,5,13,19.1,17.7,21.4,2.0,0.8,
1977,5,14,18.3,12.9,21.8,44.4,0.0,
1977,5,15,14.7,11.3,18.9,1.7,8.5,
1977,5,16,14.8,11.6,18.6,,9.9,
1977,5,17,17.2,12.2,22.4,,12.3,
1977,5,18,18.5,14.1,23.2,,11.9,
1977,5,19,19.3,14.4,24.8,,12.7,
1977,5,20,19.7,16.4,23.6,,4.8,
1977,5,21,16.0,13.7,18.2,10.3,0.0,
1977,5,22,17.6,14.6,21.7,,11.5,
1977,5,23,16.5,12.6,20.5,,11.1,
1977,5,24,16.3,14.2,18.5,0.4,0.0,
1977,5,25,18.7,15.4,22.7,0.0,9.2,
1977,5,26,18.4,16.4,20.4,0.2,1.1,
1977,5,27,17.7,15.2,22.0,,7.5,
1977,5,28,16.6,14.8,19.3,0.1,0.0,
1977,5,29,17.0,15.0,18.6,76.6,0.0,
1977,5,30,18.0,15.8,20.3,8.5,2.6,
1977,5,31,18.6,17.1,21.3,0.0,0.0,
