year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2011,8,1,25.0,23.2,26.6,16.0,0.0,
2011,8,2,26.3,22.7,31.7,,9.5,
2011,8,3,28.3,23.5,32.7,0.1,4.5,
2011,8,4,28.9,25.0,33.9,,7.9,
2011,8,5,29.0,24.4,34.9,,10.2,
2011,8,6,29.4,25.5,33.6,,3.6,
2011,8,7,27.9,24.9,31.1,58.0,0.0,
2011,8,8,26.1,24.3,29.0,6.0,2.9,
2011,8,9,24.7,23.2,25.9,297.0,0.0,
2011,8,10,26.2,25.1,28.2,0.5,0.2,
2011,8,11,27.2,24.9,30.9,0.1,4.1,
2011,8,12,27.0,25.3,30.3,,0.8,
2011,8,13,26.1,24.1,28.5,9.0,0.4,
2011,8,14,26.6,24.1,30.0,,4.8,
2011,8,15,26.5,23.6,30.9,,1.9,
2011,8,16,27.3,24.9,31.3,,3.9,
2011,8,17,25.7,24.2,28.1,3.0,0.0,
2011,8,18,23.7,21.5,27.1,1.0,1.5,
2011,8,19,22.8,21.4,24.5,1.0,0.0,
2011,8,20,20.1,18.9,21.4,17.5,0.0,
2011,8,21,22.3,18.2,27.8,,3.8,
2011,8,22,21.5,19.4,24.8,0.5,0.0,
2011,8,23,22.1,18.0,26.0,,0.8,
2011,8,24,22.3,20.1,26.6,3.0,0.0,
2011,8,25,24.2,21.1,28.1,2.0,1.2,
2011,8,26,25.2,22.5,28.8,1.0,0.3,
2011,8,27,26.1,23.3,32.1,3.0,3.8,
2011,8,28,26.0,22.5,31.2,,7.8,
2011,8,29,26.5,23.8,31.2,,6.9,
2011,8,30,25.7,22.5,31.1,,1.6,
2011,8,31,25.3,22.3,30.7,,1.5,
