year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2004,3,1,4.3,-0.2,7.8,,8.1,
2004,3,2,1.2,-2.7,6.5,,10.3,
2004,3,3,-1.3,-3.5,3.0,,2.9,
2004,3,4,-0.3,-7.0,6.1,,9.9,
2004,3,5,0.3,-1.2,2.7,6.0,0.0,4.5
2004,3,6,-1.9,-4.6,0.6,0.0,10.1,0.0
2004,3,7,-1.8,-6.9,2.7,,10.3,
2004,3,8,3.8,-2.4,8.1,,6.7,
2004,3,9,8.2,3.5,14.8,,9.5,
2004,3,10,14.2,3.5,20.7,,7.8,
2004,3,11,8.9,6.5,15.6,,1.6,
2004,3,12,9.2,4.6,15.3,,9.4,
2004,3,13,8.2,2.2,15.6,,9.3,
2004,3,14,6.6,1.8,11.6,,8.2,
2004,3,15,6.8,-0.4,13.1,,9.1,
2004,3,16,15.1,3.7,24.2,,7.5,
2004,3,17,13.1,5.4,20.0,0.0,1.3,
2004,3,18,3.7,-1.6,8.8,,8.9,
2004,3,19,4.4,-1.8,10.6,,10.3,
2004,3,20,6.6,2.2,12.5,,9.4,
2004,3,21,8.5,2.9,12.1,,7.1,
2004,3,22,7.1,3.5,11.3,3.0,7.7,
2004,3,23,8.6,1.7,17.6,,8.3,
2004,3,24,9.5,4.6,14.5,,8.2,
2004,3,25,8.0,3.4,13.6,,3.5,
2004,3,26,7.0,1.8,12.5,,11.0,
2004,3,27,10.4,0.3,18.7,,8.6,
2004,3,28,14.8,7.4,22.7,,10.6,
2004,3,29,16.9,10.8,21.5,,8.5,
2004,3,30,15.3,7.4,21.8,,9.4,
2004,3,31,10.2,0.4,16.8,,10.5,
