year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2008,10,1,16.4,11.8,24.0,,6.4,
2008,10,2,16.0,10.9,25.1,,7.3,
2008,10,3,16.2,11.9,25.2,,6.6,
2008,10,4,17.2,12.8,23.6,,5.3,
2008,10,5,17.9,13.8,24.7,1.0,1.5,
2008,10,6,16.9,12.4,22.7,0.1,6.2,
2008,10,7,15.7,11.3,21.9,,4.1,
2008,10,8,15.5,10.2,24.3,,5.2,
2008,10,9,16.6,11.7,25.7,,8.6,
2008,10,10,15.5,12.3,20.2,0.2,0.2,
2008,10,11,11.8,6.6,20.0,,8.3,
2008,10,12,10.9,5.0,20.6,,7.6,
2008,10,13,11.7,4.9,21.6,,4.8,
2008,10,14,12.5,7.7,21.8,,6.7,
2008,10,15,13.0,6.6,23.2,,6.8,
2008,10,16,13.7,9.6,23.4,,5.1,
2008,10,17,15.1,8.5,27.1,,7.8,
2008,10,18,15.1,8.5,28.3,,7.5,
2008,10,19,14.3,7.1,25.2,,4.2,
2008,10,20,15.1,7.3,27.9,,8.6,
2008,10,21,16.0,7.7,26.1,,5.9,
2008,10,22,14.9,12.9,17.7,4.5,0.0,
2008,10,23,17.5,14.5,20.5,1.5,0.3,
2008,10,24,11.6,6.5,17.1,,5.9,
2008,10,25,9.7,1.7,16.9,1.5,6.0,
2008,10,26,12.6,8.6,16.2,0.3,9.2,
2008,10,27,9.2,3.3,13.5,,4.8,
2008,10,28,7.8,0.5,15.4,,6.7,
2008,10,29,9.7,4.0,17.1,,5.8,
2008,10,30,8.4,2.5,16.0,,9.2,
2008,10,31,6.0,2.4,9.8,4.5,0.0,
