year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2024,6,1,19.0,14.7,24.1,0.0,7.8,
2024,6,2,17.6,12.8,24.1,0.2,7.5,
2024,6,3,18.2,13.1,24.6,,7.5,
2024,6,4,17.8,9.4,25.9,,13.4,
2024,6,5,19.9,11.7,27.3,,12.3,
2024,6,6,20.1,13.5,27.7,,9.4,
2024,6,7,20.5,12.2,27.8,,9.6,
2024,6,8,18.7,17.5,20.7,1.3,0.0,
2024,6,9,22.4,16.4,29.0,,12.2,
2024,6,10,23.3,15.3,30.4,,10.6,
2024,6,11,25.2,16.9,31.9,,12.7,
2024,6,12,26.0,17.2,32.7,,13.5,
2024,6,13,24.8,17.0,33.0,,11.9,
2024,6,14,,,,,12.6,
2024,6,15,21.9,20.2,26.4,21.2,2.3,
2024,6,16,23.4,17.5,28.2,0.0,12.5,
