year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1981,4,1,7.4,2.6,11.6,0.6,1.5,
1981,4,2,9.5,4.6,14.6,,8.7,
1981,4,3,9.4,1.0,15.7,,7.4,
1981,4,4,11.2,7.0,18.7,,6.4,
1981,4,5,9.1,5.3,13.6,2.4,2.0,
1981,4,6,13.8,7.6,21.5,,9.6,
1981,4,7,12.5,3.6,21.3,,9.9,
1981,4,8,11.0,3.0,20.3,,8.4,
1981,4,9,11.4,7.8,14.3,11.8,0.0,
1981,4,10,14.5,10.3,20.5,3.5,8.1,
1981,4,11,16.8,7.7,24.0,,9.8,
1981,4,12,11.8,7.9,19.5,0.0,7.2,
1981,4,13,11.1,6.5,18.4,,7.8,
1981,4,14,12.5,2.6,19.8,,9.6,
1981,4,15,11.7,5.4,17.9,,3.4,
1981,4,16,10.6,8.3,15.6,0.6,3.1,
1981,4,17,13.2,3.6,21.4,,10.4,
1981,4,18,14.5,5.5,21.0,,6.8,
1981,4,19,10.4,8.4,15.6,15.4,4.0,
1981,4,20,10.5,5.1,17.5,,8.6,
1981,4,21,11.7,1.8,22.7,,9.3,
1981,4,22,16.3,6.9,24.0,,10.5,
1981,4,23,17.2,5.3,25.8,,10.7,
1981,4,24,17.1,10.6,23.8,0.1,8.7,
1981,4,25,13.8,4.4,21.6,,10.2,
1981,4,26,17.4,2.2,28.0,,10.7,
1981,4,27,16.7,8.8,25.3,,9.7,
1981,4,28,16.4,3.3,26.8,,10.6,
1981,4,29,15.5,13.0,19.2,1.8,0.7,
1981,4,30,17.1,10.3,24.3,,10.7,
