year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2010,2,1,3.8,1.5,6.8,1.5,3.0,
2010,2,2,-0.1,-2.6,4.1,,8.0,
2010,2,3,-2.2,-4.7,1.8,,8.6,
2010,2,4,-0.3,-3.8,4.0,,3.7,
2010,2,5,1.1,-1.6,5.7,,8.0,
2010,2,6,0.4,-3.5,7.1,,9.5,
2010,2,7,3.9,-3.3,8.5,,1.5,
2010,2,8,7.7,5.3,10.8,7.0,0.0,
2010,2,9,9.4,7.0,11.5,1.5,0.0,
2010,2,10,7.7,5.4,10.3,8.5,0.0,
2010,2,11,5.3,2.8,7.5,33.0,0.0,
2010,2,12,2.1,0.6,3.7,1.5,0.0,
2010,2,13,0.3,-1.2,3.0,,4.5,
2010,2,14,0.8,-2.7,3.5,,0.0,
2010,2,15,1.4,-1.1,6.2,,7.6,
2010,2,16,-0.8,-2.6,3.1,,7.7,
2010,2,17,0.6,-2.3,5.3,0.5,3.4,1.0
2010,2,18,-0.3,-2.5,2.8,0.0,4.7,
2010,2,19,1.9,-2.8,7.0,,7.7,
2010,2,20,4.0,-2.3,11.7,,10.0,
2010,2,21,4.6,-1.5,12.7,,8.3,
2010,2,22,7.0,0.8,15.2,,8.7,
2010,2,23,8.5,2.8,16.4,,9.7,
2010,2,24,13.2,6.2,17.2,,0.0,
2010,2,25,15.6,13.1,17.4,48.5,0.0,
2010,2,26,11.4,9.8,13.7,14.0,0.0,
2010,2,27,7.6,5.6,10.0,5.0,0.0,
2010,2,28,8.3,4.2,13.3,,6.1,
