year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1986,3,1,-0.6,-2.8,1.9,9.8,0.0,14.4
1986,3,2,0.7,-2.4,4.4,,6.4,
1986,3,3,-0.1,-4.0,3.7,,4.0,
1986,3,4,3.3,-3.1,7.3,,5.5,
1986,3,5,3.3,0.1,6.6,,7.1,
1986,3,6,3.4,-0.3,8.6,,7.5,
1986,3,7,4.9,1.1,9.9,,6.1,
1986,3,8,4.9,0.8,8.7,,1.5,
1986,3,9,9.0,6.8,11.3,0.0,0.0,
1986,3,10,6.5,1.5,9.8,,9.6,
1986,3,11,3.4,1.3,6.1,,0.0,
1986,3,12,6.3,2.5,10.9,0.5,8.2,
1986,3,13,5.4,3.7,9.3,0.0,0.0,
1986,3,14,4.1,2.8,5.4,0.3,0.0,
1986,3,15,5.8,2.7,11.4,,5.5,
1986,3,16,2.8,1.0,5.7,,7.9,
1986,3,17,3.6,1.0,6.8,,6.1,
1986,3,18,3.1,-0.1,5.6,0.7,0.0,0.9
1986,3,19,2.9,-0.4,5.8,1.2,0.0,0.5
1986,3,20,3.0,0.9,5.2,0.6,1.5,
1986,3,21,3.9,0.6,7.4,,6.6,
1986,3,22,3.7,1.8,6.4,,0.0,
1986,3,23,4.1,2.3,6.6,,6.2,
1986,3,24,6.1,2.6,12.1,,9.1,
1986,3,25,6.1,1.5,11.4,,8.9,
1986,3,26,9.1,6.0,14.1,,9.4,
1986,3,27,10.3,6.1,14.9,,7.2,
1986,3,28,7.7,4.9,10.9,,2.2,
1986,3,29,6.3,4.0,8.6,,0.0,
1986,3,30,5.9,3.1,9.5,0.2,0.4,
1986,3,31,6.1,1.9,10.3,,9.7,
