year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1989,11,1,13.6,8.0,17.8,,4.5,
1989,11,2,11.0,3.8,20.8,,9.1,
1989,11,3,13.3,7.6,19.9,,1.0,
1989,11,4,15.1,13.4,16.3,5.0,0.0,
1989,11,5,18.0,15.1,21.4,4.9,0.0,
1989,11,6,15.5,13.6,18.9,51.6,0.0,
1989,11,7,14.5,13.1,16.3,0.3,0.0,
1989,11,8,14.5,13.5,15.5,14.6,0.0,
1989,11,9,13.8,9.8,17.5,,4.4,
1989,11,10,11.1,6.6,16.6,,8.7,
1989,11,11,10.0,4.8,17.5,,5.6,
1989,11,12,11.0,7.4,15.4,2.5,0.8,
1989,11,13,10.6,5.4,14.6,0.6,4.7,
1989,11,14,6.9,5.3,9.8,10.1,1.1,
1989,11,15,7.2,4.5,12.1,0.8,5.3,
1989,11,16,7.9,3.8,14.4,,4.2,
1989,11,17,8.2,3.8,15.0,,8.1,
1989,11,18,5.8,1.9,11.7,,4.0,
1989,11,19,3.3,0.6,7.6,,8.7,
1989,11,20,7.2,2.3,13.6,,8.2,
1989,11,21,7.0,0.7,15.4,,8.6,
1989,11,22,7.6,2.0,15.6,,4.0,
1989,11,23,9.5,3.2,16.2,,8.0,
1989,11,24,8.4,2.4,15.7,,8.2,
1989,11,25,8.5,3.0,15.9,,8.5,
1989,11,26,6.4,-0.2,15.9,,8.5,
1989,11,27,8.2,2.8,16.6,0.0,1.7,
1989,11,28,5.1,0.1,7.9,,8.3,
1989,11,29,1.8,-1.3,5.5,,8.3,
1989,11,30,1.8,-3.3,7.5,,8.4,
