year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1989,2,1,1.5,-3.1,6.0,,9.2,
1989,2,2,-1.8,-6.3,4.1,,9.4,
1989,2,3,-1.6,-6.3,6.0,,9.4,
1989,2,4,0.4,-4.2,8.7,,8.5,
1989,2,5,2.6,-3.5,10.4,,9.3,
1989,2,6,2.3,-2.5,8.4,,9.5,
1989,2,7,3.5,-1.9,10.5,,7.8,
1989,2,8,4.3,2.8,6.3,5.7,0.0,
1989,2,9,3.0,-0.3,6.2,0.4,0.0,
1989,2,10,0.6,-1.8,4.8,7.6,6.7,7.3
1989,2,11,0.1,-3.5,4.7,,8.8,
1989,2,12,1.2,-4.0,8.0,,9.5,
1989,2,13,2.2,-1.9,7.7,,8.9,
1989,2,14,4.1,-2.3,10.1,,9.7,
1989,2,15,7.3,1.7,13.0,0.0,3.9,
1989,2,16,6.2,4.4,8.6,14.2,0.0,
1989,2,17,5.9,3.0,7.5,2.6,0.0,
1989,2,18,2.9,1.3,4.6,3.5,0.0,
1989,2,19,4.2,-0.9,10.2,,8.5,
1989,2,20,7.4,2.8,12.7,,8.3,
1989,2,21,4.7,0.2,9.0,,2.8,
1989,2,22,2.5,-1.9,6.2,0.4,0.7,0.7
1989,2,23,4.3,0.7,8.2,0.7,0.7,
1989,2,24,5.4,3.2,7.6,0.2,0.0,
1989,2,25,5.5,3.4,7.4,30.6,0.0,
1989,2,26,5.0,1.4,9.5,5.3,9.0,
1989,2,27,8.9,3.4,15.0,,9.4,
1989,2,28,11.6,5.8,17.4,2.2,8.4,
