year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2010,12,1,3.1,-0.5,8.4,,1.8,
2010,12,2,8.0,0.6,16.0,0.5,0.6,
2010,12,3,1.7,-2.0,12.0,1.5,4.4,
2010,12,4,-0.5,-4.8,3.3,,0.1,
2010,12,5,4.7,-0.8,8.6,,0.0,
2010,12,6,5.1,-1.2,9.6,,3.1,
2010,12,7,-1.6,-4.5,3.6,,7.1,
2010,12,8,-0.6,-3.9,3.7,5.3,0.5,5.5
2010,12,9,-2.2,-6.8,2.4,0.0,8.5,0.0
2010,12,10,2.0,-6.9,9.7,0.5,5.3,
2010,12,11,-0.6,-5.3,8.0,,8.4,
2010,12,12,-2.7,-8.8,3.6,,6.8,
2010,12,13,1.3,-1.4,3.3,2.0,0.0,
2010,12,14,-1.7,-8.3,3.0,,6.1,
2010,12,15,-8.9,-12.0,-4.8,,8.7,
2010,12,16,-8.5,-13.0,-3.8,,8.1,
2010,12,17,-3.1,-8.2,1.9,3.1,3.1,3.5
2010,12,18,-2.6,-8.7,5.5,,7.9,
2010,12,19,4.1,-4.5,10.4,0.1,1.2,
2010,12,20,3.1,-0.8,9.9,,6.5,
2010,12,21,2.9,-2.4,10.9,,7.4,
2010,12,22,2.4,-1.7,8.7,,8.0,
2010,12,23,-0.1,-6.2,5.0,,3.5,
2010,12,24,-10.1,-12.3,-6.2,,8.3,
2010,12,25,-10.1,-14.2,-5.6,,8.6,
2010,12,26,-8.7,-13.4,-4.0,0.0,6.9,
2010,12,27,-5.7,-11.0,-2.0,0.3,3.8,0.3
2010,12,28,-1.3,-4.7,2.0,2.2,0.1,2.2
2010,12,29,-5.0,-9.4,-1.5,,8.5,
2010,12,30,-5.5,-9.5,-1.2,3.4,1.6,5.2
2010,12,31,-8.7,-11.9,-4.5,,8.2,
