year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2019,1,1,-1.2,-8.2,6.8,,7.1,
2019,1,2,-1.5,-7.7,7.8,,8.7,
2019,1,3,-2.3,-8.8,8.0,,8.8,
2019,1,4,-0.5,-9.0,8.5,,3.9,
2019,1,5,1.2,-6.0,10.7,0.0,5.9,
2019,1,6,-1.0,-7.1,9.3,,7.4,
2019,1,7,-0.9,-8.0,9.2,,8.0,
2019,1,8,0.6,-5.1,9.3,,8.4,
2019,1,9,-1.2,-4.4,4.6,,4.9,
2019,1,10,1.5,-3.7,10.3,,6.1,
2019,1,11,1.9,-5.8,9.8,0.0,6.5,
2019,1,12,3.2,-1.9,8.9,3.5,0.7,
2019,1,13,1.5,-4.1,10.7,,7.5,
2019,1,14,0.9,-5.7,10.8,,7.7,
2019,1,15,2.6,-2.1,10.8,,7.2,
2019,1,16,-1.3,-6.0,5.6,,9.0,
2019,1,17,-0.7,-7.7,8.3,,8.1,
2019,1,18,0.1,-7.6,10.3,,8.9,
2019,1,19,3.7,-2.9,12.6,0.5,4.5,
2019,1,20,3.7,-3.8,9.5,0.1,8.6,
2019,1,21,0.9,-7.8,10.0,,9.2,
2019,1,22,3.3,-5.5,11.9,,9.0,
2019,1,23,3.1,-4.7,12.3,,8.6,
2019,1,24,0.6,-6.7,10.6,,9.2,
2019,1,25,0.1,-6.4,7.8,,2.0,
2019,1,26,-1.1,-7.6,6.6,,9.2,
2019,1,27,-1.6,-10.2,10.5,,9.4,
2019,1,28,1.9,-4.8,10.9,,7.2,
2019,1,29,-0.1,-7.9,10.0,,9.2,
2019,1,30,3.5,-4.5,12.7,,5.6,
2019,1,31,1.0,-3.2,5.5,8.5,0.0,
