year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1973,4,1,12.2,1.4,22.0,,9.7,
1973,4,2,12.1,5.9,18.1,,8.7,
1973,4,3,9.2,-5.0,15.3,,9.1,
1973,4,4,8.9,1.5,13.3,,10.8,
1973,4,5,5.4,-4.1,14.3,,11.7,
1973,4,6,9.5,-4.2,20.7,,11.4,
1973,4,7,12.2,7.8,20.0,0.3,3.3,
1973,4,8,14.8,7.4,22.5,,8.7,
1973,4,9,13.7,8.5,20.1,,9.3,
1973,4,10,16.2,4.7,27.0,,11.3,
1973,4,11,11.5,6.5,17.2,15.7,0.0,
1973,4,12,8.3,5.0,13.5,3.8,5.4,
1973,4,13,10.0,1.3,21.1,,11.6,
1973,4,14,10.8,5.1,18.0,2.7,4.1,
1973,4,15,11.2,9.0,12.5,20.6,0.0,
1973,4,16,10.3,9.0,12.2,25.2,0.0,
1973,4,17,10.3,4.0,14.0,0.4,7.3,
1973,4,18,10.7,-0.5,19.6,,11.1,
1973,4,19,13.4,5.1,20.2,,8.1,
1973,4,20,14.4,3.8,24.3,,11.0,
1973,4,21,11.9,7.7,17.0,0.0,0.3,
1973,4,22,14.3,4.7,24.7,,11.1,
1973,4,23,16.8,9.2,24.3,1.0,2.8,
1973,4,24,15.8,10.9,23.1,27.3,4.7,
1973,4,25,17.9,8.9,27.5,,10.4,
1973,4,26,15.3,9.0,18.3,,7.3,
1973,4,27,13.9,3.9,22.0,,12.3,
1973,4,28,16.0,4.7,25.4,,9.4,
1973,4,29,16.8,6.0,26.4,,12.5,
1973,4,30,18.0,5.9,29.7,,10.2,
