year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2004,2,1,0.9,-6.5,9.8,,6.4,
2004,2,2,-0.9,-5.5,3.5,,7.4,
2004,2,3,-4.3,-10.0,1.0,,7.4,
2004,2,4,-2.1,-9.1,3.5,0.4,7.3,0.7
2004,2,5,-4.3,-8.1,-0.2,,6.7,
2004,2,6,-5.2,-13.0,0.8,0.4,5.2,0.7
2004,2,7,-3.6,-7.3,0.8,0.0,8.2,
2004,2,8,-1.6,-9.3,7.6,,7.8,
2004,2,9,-3.0,-10.3,4.4,,9.1,
2004,2,10,-2.6,-12.0,5.9,,8.2,
2004,2,11,0.2,-4.5,7.8,,3.2,
2004,2,12,-0.5,-6.8,7.9,,6.2,
2004,2,13,1.0,-6.6,7.8,,5.2,
2004,2,14,3.5,0.2,6.0,3.0,6.0,
2004,2,15,2.2,-3.7,10.0,,8.7,
2004,2,16,3.2,-5.5,11.6,,8.1,
2004,2,17,4.7,0.1,9.8,,7.8,
2004,2,18,2.8,-5.9,13.3,,8.4,
2004,2,19,4.5,-5.5,16.7,,8.7,
2004,2,20,7.7,-3.7,19.5,,8.5,
2004,2,21,8.1,4.5,12.3,24.0,0.0,
2004,2,22,4.9,1.3,14.1,9.0,0.0,
2004,2,23,1.9,-2.0,8.0,,9.4,
2004,2,24,2.6,-4.5,8.6,,4.7,
2004,2,25,6.4,1.8,13.0,0.0,3.7,
2004,2,26,1.4,-2.2,6.1,,8.8,
2004,2,27,0.9,-4.3,7.5,0.3,9.3,0.7
2004,2,28,2.3,-5.4,10.6,2.0,1.6,
2004,2,29,4.8,1.7,9.6,0.0,7.6,
