year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1984,10,1,16.6,13.1,23.7,,5.8,
1984,10,2,15.3,11.3,20.8,0.0,3.0,
1984,10,3,15.1,5.1,20.8,,8.0,
1984,10,4,9.0,2.0,16.1,,8.7,
1984,10,5,8.8,-0.9,16.4,,7.8,
1984,10,6,11.6,6.3,19.8,,7.8,
1984,10,7,11.5,4.9,20.4,,8.1,
1984,10,8,11.4,5.5,21.8,,8.3,
1984,10,9,10.9,3.5,22.2,,8.3,
1984,10,10,11.3,3.8,23.1,,7.6,
1984,10,11,13.4,7.1,22.0,,8.1,
1984,10,12,12.3,8.3,20.5,,1.6,
1984,10,13,11.5,7.5,18.5,,5.8,
1984,10,14,11.7,6.6,21.5,,7.1,
1984,10,15,11.2,2.8,22.2,,8.6,
1984,10,16,11.7,4.3,17.4,,4.6,
1984,10,17,14.5,6.5,20.3,,8.4,
1984,10,18,10.0,1.0,20.8,,8.3,
1984,10,19,10.4,2.3,21.2,1.3,7.8,
1984,10,20,8.8,4.0,12.2,1.4,3.6,
1984,10,21,4.2,-1.9,10.0,,8.3,
1984,10,22,6.7,-2.5,15.4,,0.2,
1984,10,23,15.4,7.8,20.7,0.0,8.0,
1984,10,24,10.5,3.8,20.8,,6.7,
1984,10,25,11.3,5.2,22.3,,6.4,
1984,10,26,12.7,7.5,20.9,,7.1,
1984,10,27,13.4,4.3,17.4,9.1,7.3,
1984,10,28,4.4,-0.5,12.3,,2.4,
1984,10,29,3.9,-2.9,14.1,,7.5,
1984,10,30,4.2,-4.4,11.3,,8.5,
1984,10,31,5.3,-4.3,11.4,,4.6,
