year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1984,11,1,12.2,7.9,15.5,0.4,8.9,
1984,11,2,7.8,3.9,11.3,,9.6,
1984,11,3,10.2,5.3,14.7,,7.8,
1984,11,4,13.1,9.8,17.0,,8.9,
1984,11,5,14.9,12.8,18.6,,6.1,
1984,11,6,14.1,10.4,19.6,,5.5,
1984,11,7,15.3,12.7,19.7,,2.6,
1984,11,8,13.7,12.4,17.4,,6.4,
1984,11,9,12.1,9.7,15.0,,3.3,
1984,11,10,9.9,8.9,11.2,12.1,0.0,
1984,11,11,10.8,6.4,15.8,,9.0,
1984,11,12,6.4,2.6,11.9,,9.2,
1984,11,13,4.2,0.5,8.1,,5.4,
1984,11,14,7.0,3.3,12.1,8.0,2.7,
1984,11,15,9.4,6.7,13.9,7.8,2.8,
1984,11,16,10.4,6.6,15.2,,8.6,
1984,11,17,10.0,8.3,13.7,,2.4,
1984,11,18,9.6,6.2,14.4,0.4,6.0,
1984,11,19,4.9,1.8,8.3,4.6,0.1,
1984,11,20,3.8,0.2,8.6,,8.9,
1984,11,21,5.5,2.0,10.1,,8.6,
1984,11,22,6.3,1.5,12.3,,8.0,
1984,11,23,8.8,5.2,12.7,0.0,5.3,
1984,11,24,6.5,1.4,9.0,,8.6,
1984,11,25,4.0,-0.1,10.3,,8.5,
1984,11,26,5.9,2.2,8.8,0.1,3.7,
1984,11,27,-1.0,-3.0,3.2,,8.9,
1984,11,28,0.3,-4.5,4.4,0.1,1.9,
1984,11,29,5.2,1.7,8.9,,4.8,
1984,11,30,9.6,6.0,12.5,0.0,1.6,
