year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2006,6,1,20.1,11.5,29.2,,9.8,
2006,6,2,22.1,14.5,31.2,,9.5,
2006,6,3,19.8,12.0,28.5,,10.7,
2006,6,4,19.0,14.1,26.6,,7.1,
2006,6,5,19.7,13.3,27.6,,8.9,
2006,6,6,20.8,13.3,30.2,,9.5,
2006,6,7,21.2,13.6,28.8,,9.3,
2006,6,8,18.1,16.6,22.3,,3.2,
2006,6,9,20.4,14.8,27.6,,10.4,
2006,6,10,19.1,13.8,25.7,44.5,8.2,
2006,6,11,18.5,12.8,24.5,,11.8,
2006,6,12,19.5,11.1,29.3,,9.6,
2006,6,13,20.5,12.0,28.5,,10.8,
2006,6,14,17.5,13.5,19.8,62.0,0.0,
2006,6,15,17.6,13.3,22.2,1.5,8.6,
2006,6,16,19.3,11.8,29.2,,10.8,
2006,6,17,19.9,11.3,30.0,,11.0,
2006,6,18,20.8,15.1,27.2,,10.6,
2006,6,19,21.5,14.8,29.0,,10.4,
2006,6,20,22.3,14.6,30.7,,9.9,
2006,6,21,22.8,19.0,28.3,8.0,7.2,
2006,6,22,20.9,19.2,23.7,28.0,0.9,
2006,6,23,22.5,18.6,28.1,,7.2,
2006,6,24,22.6,18.2,28.7,,7.7,
2006,6,25,19.2,16.8,21.7,11.0,1.8,
2006,6,26,20.4,17.0,25.2,0.5,4.5,
2006,6,27,21.0,16.8,26.5,,6.3,
2006,6,28,24.3,18.7,31.6,,9.1,
2006,6,29,24.2,20.6,29.2,2.5,9.0,
2006,6,30,23.2,21.3,26.6,0.5,3.4,
