year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2000,6,1,19.1,11.6,26.7,,8.7,
2000,6,2,21.5,15.4,28.7,,6.3,
2000,6,3,20.0,16.3,25.7,2.0,0.0,
2000,6,4,20.0,12.7,27.0,,10.3,
2000,6,5,19.2,9.8,28.0,,11.6,
2000,6,6,18.1,9.5,26.4,,12.6,
2000,6,7,18.2,10.3,26.4,,10.1,
2000,6,8,17.7,11.9,24.5,20.0,1.8,
2000,6,9,17.8,13.9,23.2,7.0,5.0,
2000,6,10,16.6,13.3,19.9,29.5,0.0,
2000,6,11,16.3,13.3,22.4,13.5,3.2,
2000,6,12,14.5,12.1,22.2,26.5,5.4,
2000,6,13,17.1,10.5,23.9,,10.3,
2000,6,14,20.3,12.7,25.8,,10.7,
2000,6,15,21.8,13.9,29.0,,10.3,
2000,6,16,21.2,15.7,27.0,,4.9,
2000,6,17,21.0,16.3,26.4,,6.3,
2000,6,18,21.4,14.4,28.4,,8.4,
2000,6,19,22.3,17.7,29.4,,8.7,
2000,6,20,22.6,16.8,29.5,,5.0,
2000,6,21,22.8,17.7,28.3,0.0,9.0,
2000,6,22,19.6,17.8,21.1,29.0,0.0,
2000,6,23,20.6,18.4,24.8,0.5,2.0,
2000,6,24,21.9,19.5,25.4,9.5,3.4,
2000,6,25,22.1,19.7,25.1,0.5,2.0,
2000,6,26,21.1,20.0,21.8,48.5,0.0,
2000,6,27,21.7,20.4,23.0,48.5,0.0,
2000,6,28,22.6,17.7,29.0,0.0,7.4,
2000,6,29,21.1,15.3,26.0,,5.6,
2000,6,30,22.5,21.2,25.3,7.0,1.5,
