year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2003,9,1,23.8,19.2,28.1,,2.3,
2003,9,2,23.8,22.0,27.6,24.0,0.0,
2003,9,3,23.4,21.5,27.2,3.0,1.1,
2003,9,4,26.1,20.9,32.1,,8.8,
2003,9,5,26.0,23.0,31.1,23.0,2.2,
2003,9,6,24.2,21.3,29.2,,6.1,
2003,9,7,26.0,22.1,29.7,0.2,1.1,
2003,9,8,24.8,22.2,28.8,28.5,1.6,
2003,9,9,23.6,20.8,28.6,6.5,0.1,
2003,9,10,21.6,19.6,25.0,0.5,0.4,
2003,9,11,22.2,19.9,24.9,1.0,0.1,
2003,9,12,23.0,21.0,27.8,72.0,0.4,
2003,9,13,21.6,17.6,25.9,7.5,2.8,
2003,9,14,21.0,15.7,27.4,,9.7,
2003,9,15,22.4,16.1,29.3,,9.8,
2003,9,16,23.3,18.4,28.6,,7.8,
2003,9,17,23.9,18.9,30.2,,5.0,
2003,9,18,24.2,22.2,28.0,20.5,0.8,
2003,9,19,23.5,21.4,28.1,,1.2,
2003,9,20,20.1,16.0,23.4,0.2,0.5,
2003,9,21,18.8,12.5,25.5,,10.6,
2003,9,22,18.3,11.8,25.5,,8.6,
2003,9,23,18.6,11.1,25.3,,8.9,
2003,9,24,18.8,13.9,24.8,,5.6,
2003,9,25,19.4,13.0,26.9,,10.0,
2003,9,26,19.8,15.1,26.0,,9.4,
2003,9,27,20.9,14.8,28.0,,9.5,
2003,9,28,20.2,15.5,26.0,,9.5,
2003,9,29,19.6,15.3,27.0,,7.6,
2003,9,30,19.7,16.1,25.1,,4.6,
